index,Наименование параметра,ДИП-40(1Д64)
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",800
3,"Наибольший диаметр заготовки над выемкой, мм",1200
4,"Наибольший диаметр заготовки над суппортом, мм",500
5,"Высота центров над станиной, мм",400
6,"Наибольшая длина заготовки (РМЦ), мм",3000
7,"Наибольшая масса заготовки в центрах, кг",
8,"Наибольшие размеры резца, мм",40 х 40
9,"Расстояние от оси шпинделя до основания резцов, мм",40
10,Шпидель,
11,"Диаметр сквозного отверстия в шпинделе, мм",100
12,"Наибольший диаметр обрабатываемого прутка, мм",
13,Торможение шпинделя,Имеется
14,"Наибольший момент на шпинделе, кН/м",
15,Число ступеней частот прямого вращения шпинделя,12
16,"Частота прямого вращения шпинделя, об/мин",8..362
17,"Размер внутреннего конуса в шпинделе, М",Конус морзе 6
18,Конец шпинделя,Резьбовой
19,Суппорт. Подачи,
20,"Наибольшее продольное перемещение суппорта, мм",
21,"Наибольшее поперечное перемещение суппорта, мм",
22,"Цена деления лимба при продольном перемещении, мм",
23,"Цена деления лимба при поперечном перемещении, мм",006
24,"Наибольшее продольное перемещение на оборот лимба, мм",
25,"Наибольшее поперечное перемещение на оборот лимба, мм",
26,Число ступеней продольных подач суппорта,
27,"Пределы продольных рабочих подач суппорта, мм/об",0225..315
28,Число ступеней поперечных подач суппорта,
29,"Пределы поперечных рабочих подач суппорта, мм/об",007..095
30,"Скорость быстрых перемещений суппорта, продольных, м/мин",-
31,"Скорость быстрых перемещений суппорта, поперечных, м/мин",-
32,Количество нарезаемых резьб метрических,22
33,"Пределы шагов нарезаемых резьб метрических, мм",1..14
34,Количество нарезаемых резьб дюймовых,36
35,Пределы шагов нарезаемых резьб дюймовых,28..2
36,Количество нарезаемых резьб модульных,13
37,Пределы шагов нарезаемых резьб модульных,025..35
38,Количество нарезаемых резьб питчевых,нет
39,Пределы шагов нарезаемых резьб питчевых,нет
40,"Наибольшее продольное/ поперечное усилие резания, кН",
41,Резцовые салазки,
42,"Наибольшее перемещение резцовых салазок, мм",
43,"Пределы рабочих подач резцовых салазок, мм/об",
44,"Скорость быстрых перемещений резцовых салазок, м/мин",
45,Задняя бабка,
46,"Диаметр пиноли задней бабки, мм",100
47,Конус под центр задней бабки,Морзе 6
48,"Перемещение задней бабки в поперечном направлении, мм",±20
49,Электрооборудование,
50,Количество электродвигателей на станке,2
51,"Мощность электродвигателя главного привода, кВт",104
52,"Мощность электродвигателя быстрого хода, кВт",-
53,"Мощность электродвигателя насоса смазки, кВт",-
54,"Мощность электродвигателя насоса охлаждения, кВт",
55,Насос охлаждения (помпа),
56,"Габариты станка, мм",5850 х 1850 х 1480
57,"Масса станка, кг",6650
