index,Наименование параметра,КОРВЕТ-48
0,Основные параметры станка,
1,"Диаметр сверла, мм",3..16
2,"Размер стола, мм",230 х 217
3,"Размер опорной базы (основания), мм",340 х 210
4,"Диаметр колонны, мм",
5,"Наибольшее расстояние от торца шпинделя до стола, мм",
6,"Наибольшее расстояние от торца шпинделя до основания, мм",
7,"Расстояние от шпинделя до колонны (вылет), мм",
8,Тиски в комплекте,"4"""
9,Шпиндель,
10,"Скорости вращения шпинделя, об/мин (Число ступеней)","500, 790, 1330, 1870, 2450 (5)"
11,"Ход шпинделя, мм",80
12,Посадка патрона,В16
13,Конус шпинделя,2 Морзе
14,"Угол наклона шпинделя, град","+90°,-45°"
15,"Горизонтальное перемещение шпинделя, мм",320
16,"Индикатор частоты вращения шпинделя, мм",-
17,Электрооборудование,
18,"Номинальное напряжение питания, В","220 ±22, 50 Гц"
19,"Номинальная потребляемая мощность, Вт",550
20,Тип двигателя,асинхронный
21,Габариты и масса станка,
22,"Габариты упаковки станка (длина ширина высота), мм",890 х 470 х 320
23,"Масса станка нетто/брутто, кг",37/40
