index,Наименование параметра,ЛА155Ф30
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр устанавливаемого прутка, мм",16
3,"Наибольшая длина подачи прутка, мм",140
4,"Наибольшее сечение резца, мм",12 х 12
5,"Расстояние от торца колпачка главного шпинделя до опорной плоскости резцов, мм",2..245
6,"Расстояние от торца гаек шпинделей трехшпиндельного устройства до опорной плоскости резцов, мм",13..143
7,"Наибольшая длина обрабатываемого прутка, мм",3000
8,"Расстояние от основания автомата до оси шпинделя, мм",1120
9,"Наименьший остаток прутка при работе с люнетом, мм",140
10,"Наименьший остаток прутка при работе без люнета, мм",30
11,"Пределы времени изготовления детали, с",
12,Шпиндельная бабка. Шпидель,
13,Число ступеней частот вращения главного шпинделя,15
14,"Частота вращения главного шпинделя, об/мин",280..7100
15,"Скорость подачи шпиндельной бабки по оси Z, мм/мин",1..2000 Бс
16,"Скорость ускоренного перемещения шпиндельной бабки, м/мин",20
17,"Дискретность перемещения шпиндельной бабки по оси Z, м/мин",0002
18,"Наибольшая величина перемещения шпиндельной бабки по оси Z, м/мин",140
19,Суппортная стойка,
20,Количество инструментов суппортной стойки,6
21,"Скорость подачи инструментов суппортной стойки по оси Х, мм/мин","0,5..1000 Бс"
22,"Скорость ускоренного перемещения инструментов суппортной стойки, м/мин",10
23,"Дискретность перемещения инструментов суппортной стойки по оси Х, мм",0001
24,"Величина перемещения инструментов суппортной стойки от среднего положения при подаче, мм",±14
25,"Величина перемещения инструментов суппортной стойки от среднего положения вверх или вниз присмене резцов, мм",±42
26,"Время смены инструментов суппортной стойки, с",26
27,Трехшпиндельное устройство,
28,Количество инструментов трехшпиндельного устройства,3
29,"Частота вращения шпинделей трехшпиндельного устройства, об/мин",2000
30,"Наибольшая относительная частота вращения шпинделей трехшпиндельного устройства, об/мин",9100
31,"Величина выдвижения шпинделей трехшпиндельного устройства при выдвижения их в рабочую зону, мм",80
32,"Диаметр сверления в стали, мм",15..12
33,"Диаметр сверления в латуни, мм",15..14
34,"Диаметр резьбы нарезаемой плашкой по стали, мм",М3..М8
35,"Диаметр резьбы нарезаемой плашкой по латуни, мм",М3..М12
36,"Диаметр резьбы нарезаемой метчиком по стали, мм",М3..М8
37,"Диаметр резьбы нарезаемой метчиком по латуни, мм",М3..М10
38,"Диаметр резьбы нарезаемой резцом суппорта, мм",М5..М16
39,"Время смены инструмента трехшпиндельного устройства, с",26
40,Электрооборудование,
41,Количество электродвигателей на станке,8
42,"Электродвигатель главного привода, кВт",55
43,"Электродвигатель привода подач шпиндельной бабки, Н*м",25
44,"Электродвигатель привода подач инструментов суппортной стойки, Н*м",25
45,"Электродвигатель привода смазочной станции, кВт",025
46,"Электродвигатель привода вращения шпинделей трехшпиндельного устройства, кВт",037
47,"Электродвигатель привода гидростанции, кВт",037
48,"Электродвигатель вентилятора гидростанции, кВт",037
49,"Мощность электродвигателя насоса охлаждения, кВт",025
50,Габариты и масса станка,
51,"Габариты станка (длина ширина высота, мм",2500 х 900 х 1720
52,"Масса станка, кг",2270
