index,Наименование параметра,ЛТ-10М
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",250
4,"Наибольший диаметр заготовки над выемкой в станине, мм",540
5,"Наибольшая длина заготовки (РМЦ), мм",960
6,Шпиндель,
7,"Диаметр сквозного отверстия в шпинделе, мм",38
8,"Наибольший диаметр прутка, мм",36
9,Число ступеней частот прямого вращения шпинделя,12
10,"Частота прямого вращения шпинделя, об/мин (число ступеней)",28..1000 (12)
11,"Размер внутреннего конуса в шпинделе, М",Морзе 5
12,Конец шпинделя,Резьба М68
13,Торможение шпинделя,есть
14,Блокировка рукояток от одновременного включения шпинделя,нет
15,Подачи,
16,"Наибольшая длина хода каретки от руки, мм",875
17,"Наибольший поперечный ход суппорта, мм",235
18,"Перемещение суппорта на одно деление лимба при продольном движении, мм",1
19,"Перемещение суппорта на одно деление лимба при поперечном движении, мм",002
20,"Наибольший ход верхнего суппорта (резцовые салазки), мм",120
21,"Перемещение резцовых салазок на одно деление лимба, мм",005
22,Число ступеней продольных подач,38
23,"Пределы рабочих подач продольных, мм/об (число ступеней)","0,03..2,91 (38)"
24,Число ступеней поперечных подач,38
25,"Пределы рабочих подач поперечных, мм/об","0,03..2,6 (38)"
26,"Скорость быстрых перемещений суппорта, м/мин",нет
27,"Пределы шагов нарезаемых резьб метрических, мм",04..10
28,Пределы шагов нарезаемых резьб дюймовых,48..3
29,Пределы шагов нарезаемых резьб модульных,025..5
30,Пределы шагов нарезаемых резьб питчевых,нет
31,Выключающие упоры при продольном движении,нет
32,Выключающие упоры при поперечном движении,нет
33,Защита от перегрузки при продольном движении,есть
34,Блокировка рукояток от одновременного включения,есть
35,Задняя бабка,
36,"Наибольшее перемещение пиноли, мм",85
37,"Поперечное смещение, мм",±10
38,"Внутренний конус, мм",Морзе №4
39,Электрооборудование,
40,Количество электродвигателей на станке,3
41,"Электродвигатель главного привода, кВт (об/мин)",22
42,"Электродвигатель насоса охлаждения, кВт (об/мин)",0125
43,"Электродвигатель привода шлифовального приспособления (по заказу) 3М, кВт",07
44,Габариты и масса станка,
45,"Габариты станка (длина ширина высота), мм",2160 х 1000 х 1400
46,"Масса станка, кг",1000
