index,Наименование параметра,МК-3002
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",220
3,"Наибольший диаметр заготовки над суппортом, мм",120
4,"Высота центров над плоскими направляющими станины, мм",102
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",450
6,"Наибольшая длина заготовки в патроне, мм",
7,"Наибольшая высота держателя резца, мм",16 х 16
8,"Максимальный диаметр сверла и фрезы, ММ",13
9,"Наибольшая масса обрабатываемой заготовки, кг",
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",20
12,Конус Морзе шпинделя,№3
13,Число ступеней частот прямого вращения шпинделя,8
14,"Частота прямого вращения шпинделя, об/мин","160, 224, 355, 560, 900, 1250, 2000, 3150"
15,Торможение шпинделя,нет
16,Блокировка рукояток,нет
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",410
19,"Перемещение суппорта продольное на одно деление лимба, мм",025
20,"Наибольшее поперечное перемещение суппорта, мм",130
21,"Перемещение суппорта поперечное на одно деление лимба, мм",004
22,"Наибольшее перемещение верхних (резцовых) салазок, мм",
23,"Перемещение резцовых салазок на одно деление лимба, мм",0025
24,"Угол поворота резцовых салазок, град",
25,Число ступеней продольных подач суппорта,6
26,"Пределы продольных рабочих подач суппорта, мм/об","0,05; 0,75; 0,1; 0,125; 0,15; 0,175"
27,"Пределы рабочих поперечных подач суппорта, мм/об",нет
28,Количество нарезаемых резьб метрических,
29,"Пределы шагов нарезаемых резьб метрических, мм",02..40
30,Пределы шагов нарезаемых резьб дюймовых,нет
31,Пределы шагов нарезаемых резьб модульных,нет
32,Пределы шагов нарезаемых резьб питчевых,нет
33,Задняя бабка,
34,Конус Морзе задней бабки,№2
35,"Наибольшее перемещение пиноли, мм",40
36,Электрооборудование,
37,"Электродвигатель главного привода, кВт",15
38,Габариты и масса станка,
39,"Габариты станка (длина ширина высота), мм",1200 х 680 х 450
40,"Масса станка, кг",160
