index,Наименование параметра,МК6046
0,Основные параметры станка,
1,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",500
2,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",290
3,"Наибольший диаметр заготовки обрабатываемой над выемкой (Г), мм",630
4,"Наибольшая длина устанавливаемой детали (РМЦ), мм",1000
5,"Наибольшая масса обрабатываемого изделия в центрах, кг",
6,"Наибольшая диаметр сверла для серления в стали, мм",25
7,Шпиндель,
8,"Мощность привода шпинделя, кВт",11
9,"Диаметр отверстия в шпинделе, мм",55
10,"Частота вращения шпинделя, об/мин",16..2000
11,Количество прямых и обратных скоростей шпинделя,22
12,"Наибольший крутящий момент на шпинделе, кНм",1
13,Подачи,
14,"Наибольшее перемещение продольного суппорта, мм",935
15,"Наибольшее перемещение поперечного суппорта, мм",300
16,"Наибольшее перемещение резцовых салазок, мм",150
17,"Диапазон продольных подач, мм/об",005-28
18,"Диапазон поперечных подач, мм/об",0025..14
19,Количество продольных/ поперечных подач,24/ 24
20,"Скорость быстрых перемещений продольных/ поперечных, м/мин","3,8/ 1,9"
21,"Пределы шагов метрических резьб, мм",05-112
22,"Пределы шагов модульных резьб, модуль",05-112
23,"Пределы шагов дюймовых резьб, ниток/дюйм",56-05
24,"Пределы шагов питчевых резьб, питч диаметральный",56-05
25,"Наибольшее перемещение пиноли задней бабки, мм",150
26,Электрооборудование,
27,"Электродвигатель главного привода, кВт",11
28,"Электродвигатель ускоренных перемещений, кВт",
29,"Электродвигатель СОЖ, кВт",
30,"Суммарная мощность установленных на станке электродвигателей, кВт",1201
31,"Потребляемая мощность станком, кВт",125
32,Габариты и масса станка,
33,"Габариты станка (длина ширина высота), мм",2800 1265 1485
34,"Масса станка, кг",3100
