index,Наименование параметра,МС-51
0,Основные параметры станка,
1,"Наибольший диаметр сверления кольцевой фрезой в стали 45, мм",51
2,"Наибольший диаметр зенкерования, мм",50
3,"Наибольший глубина сверления, мм",55
4,"Расстояние от оси шпинделя до основания (вылет), мм",
5,"Наибольший диаметр сверления спиральным сверлом, мм",23
6,"Наибольший диаметр сверления корончатым сверлом, мм",51
7,"Наибольший диаметр нарезания резьбы, мм",-
8,Шпиндель,
9,"Наибольший ход ползуна, мм",79
10,Число скоростей вращения шпинделя,2
11,"Частота вращения шпинделя, об/мин",200/ 400
12,Патрон,"Weldon 19/ КМ2, AMT2С-19/3-2"
13,Электрооборудование. Привод,
14,"Напряжение сети питания, В",~220±10% 50±5% Гц
15,"Электродвигатель привода главного движения, Вт",1300
16,"Номинальная сила притяжения электоромагнита, Н",12000
17,"Размеры электоромагнитного основания, мм",90 х 180
18,"Длина шнура, м",3
19,Класс изоляции,I
20,Степень защиты оболочки (ГОСТ 14254),IP20
21,"Температурный режим работы, град",-40 +45
22,Габарит станка,
23,"Длина и ширина станка, мм",297 х 206
24,"Высота станка в верхнем положении ползуна, мм",460
25,"Высота станка в сложенном состоянии, мм",381
26,"Масса станка полная, кг",165
