index,Наименование параметра,НС-12А
0,Основные параметры станка,
1,"Наибольший диаметр сверления, мм",12
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,20..420
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",185
4,Рабочий стол,
5,"Ширина рабочей поверхности стола, мм",360 х 360
6,Число Т-образных пазов Размеры Т-образных пазов,3
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки, мм",300
9,"Ход гильзы шпинделя, мм",100
10,"Частота вращения шпинделя, об/мин","450, 710, 1400, 2500, 4500"
11,Количество скоростей шпинделя,5
12,Конус шпинделя,Морзе В18
13,Привод,
14,"Электродвигатель привода главного движения, кВт",065
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",770 х 465 х 700
17,"Масса станка, кг",121
