index,Наименование параметра,НС-23
0,Основные параметры станка,
1,"Наибольший диаметр сверления в стали 45, мм",23
2,"Наибольший диаметр нарезаемой резьбы в стали в стали 45, мм",М16
3,Наименьшее и наибольшее расстояние от торца шпинделя до стола,60..476
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",210
5,Рабочий стол,
6,"Ширина рабочей поверхности стола, мм",380 х 350
7,Число Т-образных пазов,3 №14
8,Шпиндель,
9,"Наибольшее перемещение шпиндельной головки (траверсы) по колонне, мм",
10,"Ход гильзы шпинделя, мм",90
11,"Частота вращения шпинделя, об/мин",250..1300; 800..4000
12,Количество скоростей шпинделя,Б/с
13,Конус шпинделя,Морзе 3 АТ6 Тип AI
14,Привод,
15,"Электродвигатель привода главного движения, кВт",15
16,Габарит и масса станка,
17,"Габариты станка (длина ширина высота), мм",400 х 210 х 300
18,"Масса станка, кг",180
