index,Наименование параметра,НСП-2
0,Основные параметры станка,
1,"Наибольший диаметр сверла, мм",6
2,"Наибольший вертикальный ход стола, мм",20
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",72
4,"Частота вращения шпинделя, об/мин","800, 1500, 3000"
5,Конец шпинделя,В10
6,Сверлильный патрон по ГОСТ 8522-79,"6-1а, ПС-6"
7,Привод,
8,"Напряжение сети, В",220 50 Гц
9,"Электродвигатель привода, Вт (об/мин)",40 ()
10,Габарит и масса станка,
11,"Габариты станка (длина ширина высота), мм",360 х 130 х 330
12,"Масса станка, кг",
