index,Наименование параметра,НСФ-23
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45, мм",23
2,"Наибольший диаметр торцевой фрезы для обработки стали 45, мм",40
3,Диапазон нарезаемых резьб,М16
4,Наименьшее и наибольшее расстояние от торца шпинделя до стола,20..392
5,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",213
6,Основной рабочий стол,
7,"Размеры рабочей поверхности основного стола, мм",392 х 355
8,Число Т-образных пазов Размеры Т-образных пазов,"3, №14"
9,Крестовый рабочий стол,
10,"Размеры рабочей поверхности крестового 2-х координатного стола, мм",240 х 425
11,Число Т-образных пазов Размеры Т-образных пазов,"3, №14"
12,"Наибольшая масса заготовки, кг",
13,"Цена деления лимбов стола, мм",002
14,"Наибольшее перемещение продольное х поперечное, (по осям X и Y), мм",225 х 150
15,"Шпиндель, шпиндельная головка",
16,"Наибольшее установочное перемещение шпиндельной головки, мм",
17,"Ход гильзы шпинделя, мм",90
18,"Частота вращения шпинделя, об/мин",250..1300; 800..4000
19,Количество скоростей шпинделя,Б/с
20,Размер внутреннего конуса шпинделя,Морзе 3 АТ6 Тип AI
21,"Цена деления вертикального перемещения шпинделя, мм",02
22,"Диапазон механических подач шпинделя, об/мин",нет
23,Привод,
24,"Электродвигатель привода главного движения, кВт (об/мин)","1,5 (1500)"
25,Габарит и масса станка,
26,"Габариты станка (длина ширина высота), мм",617 х 896 х 1085
27,"Масса станка, кг",210
