index,Наименование параметра,ОТ-4
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",250
3,"Наибольший диаметр заготовки над суппортом, мм",145
4,"Наибольшая длина заготовки (РМЦ), мм",500
5,"Наибольшая длина обточки заготовки, мм",
6,"Высота центров над станиной, мм",135
7,Шпидель,
8,"Диаметр сквозного отверстия в шпинделе, мм",265
9,"Наибольший диаметр обрабатываемого прутка в патроне, мм",25
10,"Наибольший диаметр обрабатываемого прутка в цанге, мм",16
11,Число ступеней частот прямого вращения шпинделя,14
12,"Частота прямого вращения шпинделя, об/мин",335..3000
13,"Размер внутреннего конуса в шпинделе, М",Мозе 4
14,Суппорт,
15,"Наибольшее перемещение суппорта продольное/ поперечное, мм",580/ 150
16,Число ступеней продольных подач,24
17,"Пределы рабочих подач продольных, мм/об",005..07
18,"Пределы рабочих подач поперечных, мм/об",0025..035
19,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
20,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
21,Количество нарезаемых резьб метрических,
22,"Пределы шагов нарезаемых резьб метрических, мм",025..35
23,Количество нарезаемых резьб дюймовых,
24,Пределы шагов нарезаемых резьб дюймовых,80..7
25,Количество нарезаемых резьб модульных,
26,Пределы шагов нарезаемых резьб модульных,025..175
27,"Перемещение на одно деление лимба в продольном/ поперечном направлении, мм","1/ 0,02"
28,"Диаметр и шаг ходового винта, мм",30 х 6
29,"Диаметр ходового вала, мм",20
30,Верхние салазки,
31,"Наибольшее перемещение салазок, мм",150
32,"Перемещение салазок на одно деление лимба, мм",002
33,"Перемещение салазок на один оборот лимба, мм",20
34,"Угол поворота салазок, град",±45
35,"Наибольшее сечение державки резца, мм",16 х 16
36,"Расстояние от опорной поверхности резца до линии центров, мм",16
37,Задняя бабка,
38,"Наибольшее перемещение пиноли задней бабки, мм",70
39,"Конус пиноли задней бабки, мм",Морзе 3
40,"Диаметр пиноли задней бабки, мм",40
41,"Наибольшее поперечное смещение задней бабки, мм",±10
42,"Перемещение пиноли на одно деление линейки, мм",1
43,Электрооборудование,
44,Количество электродвигателей на станке,
45,"Электродвигатель главного привода, кВт",15
46,"Электродвигатель насоса охлаждения, кВт",012
47,Габариты и масса станка,
48,"Габариты станка (длина ширина высота), мм",1510 х 700 х 1360
49,"Масса станка, кг",535
