index,Наименование параметра,ПШ-30540М
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",400 х 156 х 200
3,"Расстояние от оси шпинделя до зеркала стола, мм",270
4,"Наибольшая масса обрабатываемых изделий, кг",
5,"Точностные параметры, максимально достигаемые на образце-изделии",
6,"шероховатость поверхности, обработанной периферией шлифовального круга, Ra",
7,Рабочий стол станка,
8,"Размеры рабочей поверхности стола (длина х ширина), мм",400 х 156
9,"Наибольшее продольное перемещение стола, мм",
10,"Наибольшее поперечное перемещение стола, мм",
11,"Скорость продольного перемещения стола (бесступенчатое регулирование), м/мин",-
12,"Перемещение стола за один оборот маховика механизма продольного перемещения, мм",
13,Суппорт стола. Механизм поперечной подачи стола,
14,"Цена деления лимба маховика поперечного перемещения стола, мм",
15,"Цена деления лимба микрометрической подачи поперечного перемещения стола, мм",-
16,"Автоматическая поперечная подача на каждый ход стола (бесступенчатое регулирование), мм",-
17,"Ускоренное перемещение крестового суппорта стола, м/мин",-
18,Шлифовальная головка. Шлифовальный круг,
19,"Наибольшее вертикальное перемещение шлифовальной головки, мм",
20,"Ускоренное вертикальное перемещение шлифовальной головки, м/мин",-
21,"Размеры шлифовального круга, мм",
22,Число оборотов шлифовального круга в минуту,3000
23,"Наибольшая скорость резания, м/с",
24,"Цена деления лимба маховика вертикального перемещения, мм",
25,"Цена деления лимба тонкой вертикальной подачи, мм",
26,Электрооборудование и привод станка,
27,Количество электродвигателей на станке,1
28,"Электродвигатель привода шпинделя шлифовального круга, кВт (об/мин)","0,75 (3000)"
29,"Электродвигатель гидропривода стола, кВт (об/мин)",-
30,"Электродвигатель привода поперечной подачи, кВт (об/мин)",-
31,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт (об/мин)",-
32,"Электродвигатель насоса охлаждения, кВт (об/мин)",-
33,"Электродвигатель магнитного сепаратора в комплекте с агрегатом, кВт (об/мин)",-
34,"Общая установленная мощность всех электродвигателей, кВт",
35,род тока питающей сети,
36,Габариты и масса станка,
37,"Габарит станка (длина х ширина х высота), мм",
38,"Масса станка, кг",
