index,Наименование параметра,РТ817
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемой заготовки над станиной, мм",1370
3,"Наибольший диаметр обрабатываемой заготовки над суппортом, мм",1110
4,"Наибольшая длина заготовки (РМЦ), мм",
5,"Высота устанавливаемого резца, мм",
6,"Наибольшая масса заготовки в центрах, кг",
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",
9,"Наибольший диаметр зажимаемого прутка, мм",
10,"Наибольший крутящий момент на шпинделе, кН/м",95
11,Число ступеней частот прямого вращения шпинделя,
12,"Частота прямого вращения шпинделя, об/мин",5..500
13,Размер внутреннего конуса в шпинделе,
14,Конец шпинделя по ГОСТ 12595-72,2-15М
15,"Диаметр стандартного патрона, мм",
16,Торможение шпинделя,
17,Суппорт. Подачи,
18,"Наибольшее продольное перемещение суппорта, мм",
19,"Наибольшее поперечное перемещение суппорта, мм",
20,"Цена деления лимба при продольном перемещении, мм",
21,"Цена деления лимба при поперечном перемещении, мм",
22,"Наибольшее продольное перемещение на оборот лимба, мм",
23,"Наибольшее поперечное перемещение на оборот лимба, мм",
24,Число ступеней продольных подач,
25,"Пределы продольных подач, мм/об",
26,"Пределы поперечных подач, мм/об",
27,"Наибольшее продольное усилие резания Pz, кН",
28,"Наибольшее поперечное усилие резания Pх, кН",
29,"Скорость быстрых перемещений суппорта продольных/ поперечных, м/мин",
30,Количество нарезаемых резьб метрических,
31,"Пределы шагов нарезаемых резьб метрических, мм",
32,Количество нарезаемых резьб дюймовых,
33,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",
34,Количество нарезаемых резьб модульных,
35,"Пределы шагов нарезаемых резьб модульных, модуль",
36,"Количество нарезаемых резьб питчевых, питч диаметральный",
37,Выключающие упоры продольные,
38,Выключающие упоры поперечные,
39,Резцовые салазки (верхний суппорт),
40,"Наибольшее перемещение резцовых салазок, мм",
41,"Цена деления лимба перемещения резцовых салазок, мм",
42,Число ступеней подач,
43,"Пределы продольных подач, мм/об",
44,"Скорость быстрых перемещений, мм/мин",
45,"Наибольший угол поворота, град",
46,"Цена одного деления угла поворота, град",
47,Задняя бабка,
48,Центр в шпинделе по ГОСТ 13214-79,
49,"Наибольшее перемещение пиноли, мм",
50,"Наибольшее перемещение пиноли с установленным инструментом, мм",
51,"Диаметр пиноли, мм",
52,"Наибольшее перемещение бабки в поперечном направлении, мм",
53,Электрооборудование,
54,Количество электродвигателей на станке,
55,"Электродвигатель главного привода, кВт",
56,"Электродвигатель быстрого хода суппорта, кВт",
57,Привод насоса смазки,
58,Насос охлаждения (помпа),
59,"Суммарная мощность всех электродвигателей, кВт",
60,Габариты и масса станка,
61,"Габариты станка (длина ширина высота) РМЦ=2800,3000, мм",
62,"Масса станка РМЦ=3000, кг",
