index,Наименование параметра,С-169
0,Основные параметры станка,
1,"Число оборотов верхнего шпинделя, об/мин",106..1280
2,"Наибольший ход вертикальных салазок стола, мм",90
3,"Наибольший продольный ход стола, мм",120
4,"Наибольший угол поворота кронштейна с пинолью делительного шпинделя, град",±45°
5,"Наибольший угол поворота верхнего стола с Т- образными пазами, град",±5°
6,Привод и электрооборудование,
7,Количество электродвигателей на станке,1
8,"Электродвигатель привода главного движения, кВт (об/мин)","0,6(1400)"
9,Габариты и масса станка,
10,"Габариты станка (длина х ширина х высота), мм",620 х 500 х 1200
11,"Масса станка, кг",168
