index,Наименование параметра,С-28
0,Основные параметры станка,
1,"Наибольший диаметр заготовки над станиной, мм",130
2,"Наибольший диаметр заготовки над суппортом, мм",30
3,"Высота центров над плоскими направляющими станины, мм",65
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",280
5,"Наибольшая длина обтачивания без перестановки суппорта (продольная / поперечная), мм",60 / 60
6,"Наибольшая высота державки резца (высота х ширина), мм",12 х 8
7,"Высота от опорной поверхности резца до линии центров, мм",6
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",55
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",10
11,Конус шпинделя,нет
12,Число ступеней частот вращения шпинделя,3
13,"Частота вращения шпинделя, об/мин",816; 1400; 2160
14,Подшипники,Скольжения
15,Суппорт. Подачи,
16,"Наибольшее поперечное перемещение суппорта, мм",60
17,"Перемещение суппорта поперечное на одно деление лимба, мм",002
18,"Перемещение суппорта поперечное на один оборот лимба, мм",1
19,"Наибольшее перемещение резцовых салазок, мм",60
20,"Перемещение резцовых салазок на одно деление лимба, мм",001
21,"Угол поворота резцовых салазок, град",±60°
22,Задняя бабка,
23,Конус задней бабки,Морзе №0
24,"Наибольшее перемещение пиноли, мм",40
25,Электрооборудование,
26,"Электродвигатель главного привода, кВт (об/мин)","0,27 (1400)"
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",600 х 250 х 220
29,"Масса станка, кг",135
