index,Наименование параметра,СИП-500М
0,Основные параметры,
1,Количество шпинделей на станке,2
2,Количество испытательных камер,2
3,Количество испытательных камер,2
4,Малая камера,
5,"Размеры испытываемых абразивных круговРабочая скорость круга до 50 м/сек (Наружный диаметр х Наибольшая высота), мм",150..300 х 100
6,"Рабочая скорость круга до 60 м/сек (Наружный диаметр х Наибольшая высота), мм",200..300 х 50
7,"Число оборотов шпинделя малой камеры, об/мин",2450..10500
8,Регулирование скоростей,Б/с
9,Большая камера,
10,"Размеры испытываемых абразивных круговРабочая скорость круга до 50 м/сек (Наружный диаметр х Наибольшая высота), мм",350..750 х 200
11,"Рабочая скорость круга до 60 м/сек (Наружный диаметр х Наибольшая высота), мм",400..750 х 150
12,"Окружная испытательная скорость при Vисп = 1,5V раб , м/сек",375..90
13,"Окружная испытательная скорость при Vисп = 1,65V раб , м/сек",4125..825
14,"Число оборотов шпинделя большой камеры, об/мин",1100..4650
15,Регулирование скоростей,Б/с
16,Привод и электрооборудование станка,
17,Количество электродвигателей на станке,1
18,"Электродвигатель шпинделя шлифовальной бабки, кВт (об/мин)",11 (2200)
19,Габаритные размеры и масса станка,
20,"Габаритные размеры станка (длина х ширина х высота), мм",2023 х 1422 х 1195
21,"Масса станка с электрооборудованием и охлаждением, кг",2500
