index,Наименование параметра,СНВШ-2
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр сверления, мм",16
3,"Размеры рабочей поверхности стола (длина х ширина), мм",310 х 370
4,"Наибольшее расстояние от торца шпинделя до стола, мм",360
5,"Расстояние от оси шпинделя до направляющих станины (вылет), мм",215
6,"Наибольший диаметр фрезы, устанавливаемой на станке, мм",
7,Показатели норм точности при изготовлении станка,
8,"Перпендикулярность рабочей поверхности плиты к оси вращения шпинделя в вертикальной плоскости симметрии станка, мкм",50
9,"Перпендикулярность рабочей поверхности плиты к оси вращения шпинделя в вертикальной плоскости перпендикулярной к плоскости симметрии станка, мкм",50
10,"Перпендикулярность траектории перемещения шпинделя к рабочей поверхности плиты (стола), мкм",30
11,"Перпендикулярность траектории перемещения шпиндельной бабки к рабочей поверхности плиты (стола), мкм",60
12,"Радиальное биение внутреннего конуса шпинделя у торца шпинделя, мкм",нет
13,"Радиальное биение внутреннего конуса шпинделя на расстоянии 200 мм, мкм",нет
14,"Радиальное биение наружного конуса шпинделя в середине длины образующей конуса, мкм",16
15,Шпиндель,
16,"Частота вращения шпинделя, об/мин","550, 1000, 1800, 3400"
17,Количество скоростей шпинделя,4
18,"Перемещение гильзы шпинделя, мм",100
19,"Перемещение траверсы, мм",200
20,Внутренний конус шпинделя,нет
21,Наружный конус шпинделя,Морзе 2
22,Привод и электрооборудование,
23,Количество электродвигателей на станке,1
24,"Электродвигатель привода главного движения М1, кВт",075
25,Габариты и масса станка,
26,"Габариты станка (длина х ширина х высота), мм",680 х 350 х 735
27,"Масса станка, кг",110
