index,Наименование параметра,СФ-250
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,
2,"Размеры горизонтального (углового) стола, мм",245 х 630
3,"Размеры вертикального стола, мм",245 х 630
4,"Максимальная масса обрабатываемой детали, кг",
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального (углового) стола, мм",60..360
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",
7,"Наибольший вылет оси вертикального шпинделя, мм",
8,"Наибольший продольный ход стола (X), мм",250
9,"Наибольший ход шпиндельной бабки (Y), мм",200
10,"Наибольший вертикальный ход суппорта стола (Z), мм",300
11,"Наибольший диаметр растачивания, мм",100
12,"Наибольший диаметр сверления, мм",15
13,Горизонтальный шпиндель,
14,"Частота вращения горизонтального шпинделя, об/мин (ступеней)",45..2000 (12)
15,Количество скоростей горизонтального шпинделя,12
16,Конус горизонтального шпинделя,Морзе 4
17,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",312
18,Горизонтальная шпиндельная бабка,
19,"Перемещение бабки на одно деление лимба, мм",002
20,"Перемещение бабки на один оборот лимба, мм",5
21,"Быстрое перемещение бабки, мм/мин",800
22,Количество подач горизонтальной шпиндельной бабки,9
23,"Пределы подач горизонтальной шпиндельной бабки, мм/мин (ступеней)",10..400 (9)
24,"Наибольшее усилие подач шпиндельной бабки, Н",
25,Выключающие подачу упоры,есть
26,Вертикальная фрезерная головка,
27,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",
28,Количество скоростей вертикального шпинделя,
29,"Наибольшее осевое перемещение вертикального шпинделя, мм",
30,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",
31,Конус горизонтального и вертикального шпинделей,
32,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
33,Вертикальная фрезерно-расточная головка,
34,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",330
35,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",45..2000 (12)
36,"Наибольшее осевое перемещение вертикального шпинделя, мм",нет
37,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
38,Конус горизонтального и вертикального шпинделей,Морзе 4
39,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",304
40,Вертикальная сверлильно-фрезерная головка,
41,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",320
42,"Частота вращения вертикального шпинделя, об/мин (Число ступеней)",90..4000 (12)
43,"Наибольшее осевое перемещение вертикального шпинделя от руки, мм",60
44,"Механическая подача шпинделя, мм/об",005
45,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90°
46,Конус горизонтального и вертикального шпинделей,Морзе 2
47,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",566
48,Суппорт стола. Стол вертикальный. Подачи,
49,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин (Ступеней)",10..400 (9)
50,"Ускоренный ход стола, мм/мин",800
51,"Перемещение стола продольное на одно деление лимба, мм",002
52,"Перемещение суппорта стола вертикальное на одно деление лимба, мм",002
53,Количество подач стола,9
54,"Наибольшее усилие подач стола, Н",5720
55,Электрооборудование и привод станка,
56,"Электродвигатель главного привода, кВт (об/мин)","2,2 (1430)"
57,"Электродвигатель привода насоса охлаждения, кВт","0,12 (2800)"
58,"Суммарная мощность электродвигателей, кВт",232
59,Габарит и масса станка,
60,"Габариты станка (длина х ширина х высота), мм",1120 х 1280 х 1690
61,"Масса станка, кг",850
