index,Наименование параметра,СФ676
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Размеры горизонтального (углового) стола, мм",250 х 800
3,"Размеры вертикального стола, мм",250 х 630
4,"Максимальная масса обрабатываемой детали, кг",100
5,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального стола, мм",80..460
6,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",0..380
7,"Вылет оси вертикального шпинделя, мм",125..375
8,"Наибольший продольный ход стола (X), мм",450
9,"Наибольший ход шпиндельной бабки (Y), мм",300
10,"Наибольший вертикальный ход стола (Z), мм",380
11,Вертикальный и горизонтальный шпиндели,
12,"Частота вращения горизонтального шпинделя, об/мин",50..1630
13,"Частота вращения вертикального шпинделя, об/мин",63..2040
14,Количество скоростей шпинделя,16
15,"Цена деления лимбов, мм",005
16,"Цена деления линеек, мм",
17,Конус горизонтального и вертикального шпинделей,40АТ5
18,"Пределы подач шпиндельной бабки, мм/мин",13..395
19,Количество подач шпиндельной бабки,16
20,"Максимальное усилие подачи бабки, Н",
21,"Максимальный допустимый крутящий момент на шпинделе горизонтальном/ вертикальном, Нм",
22,Зажим-отжим инструмента,
23,Вертикальная фрезерная головка,
24,"Наибольшее осевое перемещение вертикального шпинделя, мм",80
25,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±90
26,"Масса вертикальной фрезерной головки, кг",
27,Вертикальный и горизонтальный столы,
28,Количество подач стола в продольном и поперечном направлении,б/с
29,"Пределы продольных и поперечных подач стола (X. Y), мм/мин",13..395
30,"Ускоренный ход стола, мм/мин",935
31,"Максимальное усилие подачи стола, Н",
32,Угловой горизонтальный стол,
33,Число Т - образных пазов,
34,Масса углового горизонтального стола,
35,Угловой универсальный стол,
36,"Размеры горизонтального универсального стола, мм",
37,"Наибольший угол поворота в горизонтальной плоскости, град",
38,"Наклон длинной стороны, град",
39,"Наклон короткой стороны, град",
40,Масса углового горизонтального стола,
41,Стол круглый горизонтально-вертикальный,
42,"Диаметр планшайбы стола, мм",
43,"Габаритные размеры, мм",
44,Масса круглого стола,
45,Привод и электрооборудование станка,
46,Количество электродвигателей на станке,
47,"Электродвигатель главного привода, кВт",3
48,"Электродвигатель привода подач, кВт",
49,"Электродвигатель смазки и зажима инструмента и направляющих, кВт",
50,"Электродвигатель привода насоса охлаждения, кВт",
51,"Суммарная мощность электродвигателей, кВт",312
52,Габариты и масса станка,
53,"Габариты станка (длина х ширина х высота), мм",1200 х 1240 х 1780
54,"Масса станка, кг",1050
