index,Наименование параметра,ТВ-320
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",320
3,"Наибольший диаметр заготовки над суппортом, мм",170
4,"Высота центров, мм",155
5,"Наибольшая длина заготовки (РМЦ), мм",500
6,"Наибольшая высота державки резца, мм",30
7,"Высота от опорной поверхности резца до линии центров, мм",20
8,"Наибольшее сечение резцов, мм",20 х 20
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",26
11,"Наибольший диаметр прутка, мм",25
12,Число ступеней частот прямого вращения шпинделя,18
13,"Частота вращения шпинделя, об/мин",36..2000
14,"Размер внутреннего конуса в шпинделе, М",Морзе 4
15,Конец шпинделя,Резьба М52 х 5
16,Торможение шпинделя,нет
17,Суппорт. Подачи,
18,"Наибольшая длина хода каретки суппорта от руки, мм",580
19,"Наибольшая длина хода каретки суппорта по валу, мм",570
20,"Наибольшая длина хода каретки суппорта по винту, мм",570
21,"Наибольший поперечный ход суппорта, мм",280
22,"Перемещение суппорта на одно деление лимба в продольном направлении, мм",01
23,"Перемещение суппорта на одно деление лимба в поперечном направлении, мм",001
24,"Наибольший ход верхнего суппорта (резцовые салазки), мм",110
25,"Перемещение резцовых салазок на одно деление лимба, мм",002
26,Число ступеней продольных подач,16
27,"Пределы рабочих подач продольных, мм/об",003..049
28,Число ступеней поперечных подач,16
29,"Пределы рабочих подач поперечных, мм/об",0012..018
30,"Скорость быстрых перемещений суппорта, м/мин",нет
31,"Число нарезаемых резьб метрических, мм",19
32,"Пределы шагов нарезаемых резьб метрических, мм",025..5
33,"Пределы шагов нарезаемых резьб дюймовых, нитка/дюйм",нет
34,"Пределы шагов нарезаемых резьб модульных, модуль в мм",нет
35,Пределы шагов нарезаемых резьб питчевых,нет
36,Выключающие упоры при продольном движении,есть
37,Выключающие упоры при поперечном движении,нет
38,Защита от перегрузки при продольном движении,есть
39,Блокировка рукояток от одновременного включения,есть
40,Указатель резьбы,нет
41,"Наибольшее усилие допускаемое механизмом подач в продольном направлении, кг",
42,"Наибольшее усилие допускаемое механизмом подач в поперечном направлении, кг",
43,Задняя бабка,
44,"Наибольшее перемещение пиноли, мм",90
45,"Размер внутреннего конуса пиноли задней бабки, мм",Морзе 3
46,"Перемещение пиноли на одно деление шкалы линейки, мм",1
47,"Поперечное смещение пиноли, мм",±15
48,Электрооборудование,
49,Количество электродвигателей на станке,2
50,"Электродвигатель главного привода, кВт (об/мин)","2,8 (1420)"
51,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1610 х 950 х 1250
54,"Масса станка, кг",900
