index,Наименование параметра,ТНШ
0,Основные параметры станка,
1,Класс точности,Н
2,"Наибольший диаметр заготовки над станиной, мм",125
3,"Наибольший диаметр заготовки над суппортом, мм",63
4,"Наибольшая длина заготовки в центрах (РМЦ), мм",180
5,"Наибольшая длина обрабатываемой заготовки без переустановки суппорта, мм",55
6,"Наибольшая высота резца, мм",
7,Шпиндель,
8,"Резбовой конец шпинделя, мм",М30 х 2
9,"Диаметр сквозного отверстия в шпинделе (наибольший диаметр прутка), мм","10,7 (10,5)"
10,Конус внутренний (инструментальный) шпинделя,Морзе 2
11,Число ступеней частот прямого и обратного вращения шпинделя,3
12,"Частота прямого вращения шпинделя, об/мин","700, 1400, 2800"
13,Суппорт. Подачи,
14,Продольное перемещение суппорта,Ручная перестановка
15,"Наибольшее поперечное перемещение суппорта, мм",65
16,"Резьба ходовых винтов продольного и поперечного, мм",М6х1
17,"Перемещение суппорта поперечное на одно деление лимба, мм",005
18,"Наибольшее перемещение верхних (резцовых) салазок, мм",55
19,"Перемещение резцовых салазок на одно деление лимба, мм",005
20,"Угол поворота верхней каретки суппорта, град",±30°
21,"Цена деления шкалы поворота верхней каретки суппорта, град",2°
22,Задняя бабка,
23,Конус Морзе задней бабки,Морзе 1
24,"Наибольшее перемещение пиноли, мм",30
25,Электрооборудование,
26,"Электродвигатель главного привода, кВт (об/мин)","0,25 (1400)"
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",625 х 380 х 226
29,"Масса станка, кг",
