index,Наименование параметра,ТС-70
1,Основные параметры,
2,Класс точности по ГОСТ 8-82,Н
3,"Наибольший диаметр заготовки над станиной, мм",435
4,"Наибольший диаметр заготовки над суппортом, мм",224
5,"Наибольшая длина заготовки (РМЦ), мм",10001500
6,"Наибольшая масса заготовки в патроне, кг",200
7,"Наибольшая масса заготовки в центрах, кг",900
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",55
10,"Наибольший диаметр прутка, мм",
11,Число ступеней частот прямого вращения шпинделя,23
12,"Частота прямого вращения шпинделя, об/мин",125..2000
13,Число ступеней частот обратного вращения шпинделя,12
14,"Частота обратного вращения шпинделя, об/мин",19..2420
15,"Размер внутреннего конуса в шпинделе, М",Морзе 6
16,Конец шпинделя по ГОСТ 12593-72,6К
17,"Наибольший крутящий момент, кНм",2
18,Подачи,
19,"Наибольшая длина хода каретки, мм",9301430
20,Число ступеней продольных и поперечных подач,42
21,"Пределы продольных подач, мм/об",007..416
22,"Пределы поперечных подач, мм/об",0035..208
23,"Скорость быстрых перемещений суппорта, продольных, м/мин",45
24,"Скорость быстрых перемещений суппорта, поперечных, м/мин",225
25,Количество нарезаемых резьб метрических,45
26,"Пределы шагов нарезаемых резьб метрических, мм",05..192
27,Количество нарезаемых резьб дюймовых,28
28,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..15/8
29,Количество нарезаемых резьб модульных,38
30,Пределы шагов нарезаемых резьб модульных,05..48
31,Количество нарезаемых резьб питчевых,37
32,Пределы шагов нарезаемых резьб питчевых,96..1
33,Количество нарезаемых резьб архимедовой спирали,5
34,Пределы шагов нарезаемых резьб архимедовой спирали,"3/8"",7/16""8.10"
35,Суппорт,
36,"Цена деления лимба продольного перемещения, мм",01
37,"Наибольшее перемещение салазок, мм",140
38,"Цена деления лимба резцовых салазок, мм",005
39,Задняя бабка,
40,"Цена деления лимба, мм",01
41,Размер внутреннего конуса пиноли,Морзе 5
42,"Наибольшее перемещение пиноли, мм",200
43,"Поперечное смещение корпуса задней бабки, мм",±15
44,Характеристика пневмооборудования,
45,"Диаметр пневмо цилиндра, мм",-
46,"Ход штока пневмоцилиндра, мм",-
47,"Наибольшее давление воздуха, кг/см²",-
48,Характеристика гидрокопировального устройства,
49,"Наибольший диаметр наружного копирования, мм",-
50,"Наибольший диаметр расточки, мм",-
51,"Наибольший разность обрабатываемых диаметров при копировании , мм",-
52,"Наибольшая длина копируемой части изделия, мм",-
53,"Скорость подвода резца гидросуппорта вхолостую, мм/мин",-
54,"Скорость отвода резца гидросуппорта вхолостую, мм/мин",-
55,Электрооборудование,
56,Количество электродвигателей на станке,3
57,"Мощность электродвигателя главного привода, кВт",11
58,"Мощность электродвигателя быстрых перемещений (ходов), кВт",075
59,"Мощность электродвигателя насоса охлаждения, кВт",012
60,"Мощность электродвигателя гидростанции, кВт",-
61,"Мощность всех электродвигателей, кВт",1187
62,Габариты и масса станка,
63,"Габариты станка при РМЦ=1000, мм",2786 х1200 х1500
64,"Масса станка на тумбах при РМЦ=1000, кг",3080
65,"Масса съемного оборудования станка, кг",
