index,Наименование параметра,ТС1625Ф3
0,Основные параметры станка,
1,Обозначение системы ЧПУ,Siemens 828D
2,"Наибольший диаметр обрабатываемого изделия типа диск над станиной, мм",520
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",280
4,"Наибольший диаметр устанавливаемого изделия над станиной, мм",580
5,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм","1000, 1500"
6,"Наибольшая длина обрабатываемого изделия при числе позиций инструментальной головки (6, 8, 12), мм",900750850
7,"Наибольший вес заготовки, кг",500
8,"Точность позиционирования по осям X/Z, мм","±0,005"
9,"Повторяемость позиционирования осей X/Z, мм","±0,003"
10,"Ширина направляющих, мм",440
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",77
13,"Мощность двигателя главного движения, кВт",
14,Количество рабочих скоростей шпинделя,
15,"Пределы чисел оборотов шпинделя, об/мин",10..1650
16,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",I 10-214;II 64-672;III 160-1650
17,Количество автоматически переключаемых скоростей,
18,Диапазон автоматического переключения,
19,Центр шпинделя передней бабки по ГОСТ 13214-67,метрический 90 (1:20)
20,Центр пиноли задней бабки по ГОСТ 13214-67,
21,Конец шпинделя по ГОСТ 12593,D8 по ГОСТ 26651-85
22,"Наибольший продолжительный крутящий момент на шпинделе не менее, Нм (кгс*м)",966
23,"Наибольший кратковременный (до 30 минут) крутящий момент на шпинделе не менее, Нм (кгс*м)",2288
24,"Диаметр 3х кулачкового патрона, мм",250
25,Оси. Подачи,
26,"Наибольшее продольное перемещение суппорта (Z), мм","1000, 1500"
27,"Наибольшее поперечное перемещение суппорта (X), мм",290
28,"Пределы шагов нарезаемых резьб, мм",
29,"Диапазон скоростей продольных подач, мм/мин",001..6000
30,"Диапазон скоростей поперечных подач, мм/мин (мм/об)",
31,"Скорость быстрых продольных/ поперечных ходов, м/мин",12/ 8
32,Резцедержка. Револьверная головка,
33,"Высота резца, мм",
34,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),"8, 12"
35,"Размер хвостовика режущего инструмента, мм","VDI40, (VDI30 опция)"
36,Задняя бабка,
37,"Перемещение задней бабки, мм",до патрона
38,"Выдвижение пиноли задней бабки, мм",150
39,"Диаметр пиноли, мм",75
40,"Конус пиноли механической задней бабки, №",Морзе 5
41,Параметры системы ЧПУ,
42,Обозначение системы ЧПУ,Siemens 828D
43,Число координат,2
44,Количество одновременно управляемых координат,2
45,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",
46,"Пределы программируемых подач продольных/ поперечных, мм/об",
47,Тип датчика обратной связи по положению и резьбонарезанию,
48,Электрооборудование станка,
49,"Электродвигатель главного привода - длительно/ до 30 минут, кВт (об/мин)",10/ 25
50,"Электродвигатель продольных подач, кВт",
51,"Электродвигатель поперечных подач, кВт",
52,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)",19
53,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",19
54,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",19
55,"Электродвигатель станции смазки каретки, кВт/ об/мин",
56,"Электродвигатель станции смазки шпиндельной бабки, кВт/ об/мин",
57,"Электродвигатель насоса охлаждения, кВт/ об/мин",
58,"Электродвигатель инструментальной головки, кВт/ об/мин",
59,"Суммарная мощность электродвигателей, кВт",
60,"Суммарная мощность станка, кВт",355
61,Габариты и масса станка,
62,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм","2775, 3475 х 1585 х 1670"
63,"Масса станка с ЧПУ, кг","3380, 3680"
