index,Наименование параметра,ТС16К20Ф3
0,Основные параметры станка,
1,Обозначение системы ЧПУ,Siemens 808
2,"Наибольший диаметр обрабатываемого изделия типа диск над станиной, мм",400
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",210
4,"Наибольший диаметр устанавливаемого изделия над станиной, мм",450
5,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",750
6,"Наибольшая длина обрабатываемого изделия при числе позиций инструментальной головки (6, 8, 12), мм",
7,"Наибольший вес заготовки, кг",200
8,"Точность позиционирования по осям X/Z, мм","±0,005"
9,"Повторяемость позиционирования осей X/Z, мм","±0,003"
10,"Ширина направляющих, мм",340
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",53
13,"Мощность двигателя главного движения, кВт",75
14,Количество рабочих скоростей шпинделя,
15,"Пределы чисел оборотов шпинделя, об/мин",
16,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",I 10-330;II 130-1800
17,Количество автоматически переключаемых скоростей,
18,Диапазон автоматического переключения,
19,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе №6
20,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе №5
21,Конец шпинделя по ГОСТ 12593,С6
22,"Наибольший продолжительный крутящий момент на шпинделе не менее, Нм (кгс*м)",610
23,"Наибольший кратковременный (до 30 минут) крутящий момент на шпинделе не менее, Нм (кгс*м)",610
24,"Диаметр 3х кулачкового патрона, мм",200
25,Оси. Подачи,
26,"Наибольшее продольное перемещение суппорта (Z), мм",700
27,"Наибольшее поперечное перемещение суппорта (X), мм",235
28,"Пределы шагов нарезаемых резьб, мм",
29,"Диапазон скоростей продольных подач, мм/мин",001..4000
30,"Диапазон скоростей поперечных подач, мм/мин (мм/об)",
31,"Скорость быстрых продольных/ поперечных ходов, м/мин","9,0/ 6,0"
32,Резцедержка. Револьверная головка,
33,"Высота резца, мм",25 х 25
34,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
35,"Размер хвостовика режущего инструмента, мм",
36,Задняя бабка,
37,"Перемещение задней бабки, мм",
38,"Выдвижение пиноли задней бабки, мм",130
39,"Диаметр пиноли, мм",60
40,"Конус пиноли механической задней бабки, №",Морзе 4
41,Параметры системы ЧПУ,
42,Обозначение системы ЧПУ,Siemens 808
43,Число координат,2
44,Количество одновременно управляемых координат,2
45,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",
46,"Пределы программируемых подач продольных/ поперечных, мм/об",
47,Тип датчика обратной связи по положению и резьбонарезанию,
48,Электрооборудование станка,
49,"Электродвигатель главного привода - длительно/ до 30 минут, кВт (об/мин)","7,5/ 7,5"
50,"Электродвигатель продольных подач, кВт",15
51,"Электродвигатель поперечных подач, кВт",15
52,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)",
53,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",
54,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",
55,"Электродвигатель станции смазки каретки, кВт/ об/мин",
56,"Электродвигатель станции смазки шпиндельной бабки, кВт/ об/мин",
57,"Электродвигатель насоса охлаждения, кВт/ об/мин",
58,"Электродвигатель инструментальной головки, кВт/ об/мин",
59,"Суммарная мощность электродвигателей, кВт",
60,"Суммарная мощность станка, кВт",
61,Габариты и масса станка,
62,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",2220 х 1350 х 1600
63,"Масса станка с ЧПУ, кг",1900
