index,Наименование параметра,ТЧПА-7
0,Основные параметры,
1,"Диаметр круглых пил, мм",125..1250
2,"Ширина рамных пил, мм",80..220
3,"Длина рамных пил, мм",1050..1950
4,"Ширина тарных пил, мм",50..80
5,"Длина тарных пил, мм",600..685
6,"Ширина ленточных пил, мм",50..260
7,"Длина ленточных пил, мм",6000..9000
8,"Наибольшая толщина пил, мм",6
9,"Шаг зубьев пил, мм",65..82
10,"Наибольший передний положительный угол зубьев пил, град",35
11,"Наибольший передний отрицательный угол зубьев пил, град",25
12,"Наибольший угол поворота шлифовальной головки при косой заточке, град",45
13,"Наибольшая длина ножей, мм",640
14,"Ширина ножей, мм",20..125
15,"Толщина ножей, мм",3..10
16,"Угол поворота стола, град",30..75
17,Электрооборудование станка,
18,Род тока питающей сети,380В 50Гц
19,"Количество электродвигателей на станке, шт",2
20,"Электродвигатель привода шлифовального круга, кВт",075
21,"Электродвигатель привода редуктора, кВт",055
22,Габарит и масса станка,
23,"Габарит станка (длина х ширина х высота), мм",850 х 1100 х 1850
24,"Масса станка, кг",600
