index,Наименование параметра,ТШ-4.01 (СТАНКОГРАД)
0,Основные параметры станка,
1,Количество шлифовальных кругов,2
2,"Наибольший наружный диаметр круга, мм",600
3,"Наибольшая высота (ширина) круга, мм",50
4,"Посадочный диаметр круга, мм",203
5,"Диаметр изношенного круга, мм",-
6,Класс неуравновешенности,2/1
7,"Высота центров от основания, мм",900
8,"Расстояние между кругами, мм",
9,Шпидель,
10,"Частота вращения, об/мин",1000
11,"Максимальная скорость резания, м/с",32
12,Электрооборудование,
13,Питающая сеть,~380 В 50 Гц
14,"Электродвигатель привода, кВт",75
15,Габариты и масса станка,
16,"Габариты станка (длина ширина высота), мм",1014 х 815 х 1475
17,"Масса станка, кг",570
