index,Наименование параметра,ТШ-4.01
0,Основные параметры станка,
1,"Наибольший наружный диаметр круга, мм",600
2,"Высота круга, мм",50
3,"Посадочный диаметр круга, мм",203
4,"Диаметр изношенного круга, мм",-
5,Класс неуравновешенности,"1, 2"
6,"Высота центров от основания, мм",900
7,Шпидель,
8,"Частота вращения, 1/мин",1000
9,"Максимальная скорость резания, м/с",32
10,Электрооборудование,
11,Питающая сеть,~380 В 50 Гц
12,"Электродвигатель привода, кВт",75
13,Габариты и масса станка,
14,"Габариты станка (длина ширина высота), мм",1014 х 815 х 1475
15,"Масса станка, кг",570
