index,Наименование параметра,ТШ-4
0,Шлифовальный круг по ГОСТ 2424-83 на керамической связке,
1,"Наружный диаметр круга, мм",400
2,"Высота круга, мм",50
3,"Посадочный диаметр круга, мм",203
4,"Диаметр изношенного круга, мм",
5,Класс неуравновешенности,
6,"Высота центров от основания, мм",950
7,Шпидель,
8,"Частота вращения, 1/мин",1440
9,"Максимальная скорость резания, м/с",
10,Электрооборудование,
11,Питающая сеть,~380 В 50 Гц
12,"Электродвигатель привода, кВт",75
13,Габариты и масса станка,
14,"Габариты станка (длина ширина высота), мм",1000 х 620 x 1315
15,"Масса станка, кг",560
