index,Наименование параметра,ФС-300
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Размеры горизонтального (углового) стола, мм",250 х 620
3,"Размеры вертикального стола, мм",291 х 740
4,"Максимальная масса обрабатываемой детали, кг",80
5,"Предельные размеры устанавливаемой заготовки, мм",400 х 250 х 200
6,"Предельные размеры внутренней обрабатываемой поверхности, мм",200
7,"Расстояние от оси горизонтального шпинделя до рабочей поверхности горизонтального (углового) стола, мм",158..458
8,"Расстояние от торца горизонтального шпинделя до рабочей поверхности вертикального стола, мм",155
9,"Расстояние от торца вертикального шпинделя до рабочей поверхности горизонтального стола, мм",86..386
10,"Наибольший вылет оси вертикального шпинделя, мм",
11,"Наибольший продольный ход стола (X), мм",400
12,"Наибольший поперечный ход шпиндельной бабки (Y), мм",200
13,"Наибольший вертикальный ход суппорта стола (Z), мм",300
14,"Наибольший диаметр растачивания, мм",
15,"Наибольший диаметр сверления, мм",
16,"Наибольший диаметр фрезы, устанавливаемой на станке - для чугуна и стали, мм",63
17,"Наибольший диаметр фрезы, устанавливаемой на станке - для цветных металлов, мм",90
18,Горизонтальный шпиндель,
19,"Частота вращения горизонтального шпинделя, об/мин",15..3000
20,Количество скоростей горизонтального шпинделя,12
21,Конус горизонтального шпинделя,40АТ5
22,"Наибольший допустимый крутящий момент на горизонтальном шпинделе, Нм",
23,Горизонтальная шпиндельная бабка,
24,"Перемещение бабки на одно деление лимба, мм",001
25,Количество подач горизонтальной шпиндельной бабки,
26,"Пределы подач горизонтальной шпиндельной бабки, мм/мин",10..1000
27,"Наибольшее усилие подач шпиндельной бабки, Н",
28,Вертикальная шпиндельная головка,
29,"Частота вращения вертикального шпинделя, об/мин",15..3000
30,Количество скоростей вертикального шпинделя,
31,"Наибольшее осевое перемещение пиноли вертикального шпинделя, мм",86
32,"Наибольший угол поворота вертикальной головки в вертикальной плоскости, градус",±45
33,Конус горизонтального и вертикального шпинделей,40АТ5
34,"Наибольший допустимый крутящий момент на вертикальном шпинделе, Нм",
35,Стол вертикальный. Подачи,
36,"Пределы продольных и вертикальных подач стола (X, Z), мм/мин",
37,"Ускоренный ход стола, мм/мин",
38,"Перемещение стола продольное на одно деление лимба, мм",
39,"Перемещение суппорта стола вертикальное на одно деление лимба, мм",001
40,Количество подач стола,
41,"Наибольшее усилие подач стола, Н",
42,Электрооборудование и привод станка,
43,"Электродвигатель главного привода, кВт",24 Нм
44,"Электродвигатель привода насоса охлаждения, кВт",009
45,"Суммарная мощность электродвигателей, кВт",
46,Габарит и масса станка,
47,"Габариты станка (длина х ширина х высота), мм",1100 х 1100 х 1650
48,"Масса станка, кг",1030
