index,Наименование параметра,ЭТ-62
0,Основные параметры,
1,Количество шлифовальных кругов,2
2,"Высота оси шпинделя (центров) от основания станка, мм",205
3,"Расстояние между внутренними торцами шлифовальных кругов, мм",255
4,"Скорость шлифования (окружная скорость) при новом шлифовальном круге, м/с",11
5,Тип шлифовальных кругов,ПП 150 х 20 х 32
6,Электрооборудование,
7,"Питающая сеть, обычное исполнение","220 В, 50Гц"
8,"Электродвигатель привода, кВт (об/мин)","0,27 (1400)"
9,Пускатель магнитный,П6-111
10,"Номинальное напряжение втягивающей катушки пускателя, В",220
11,Микропереключатель,МП 2101
12,Габариты и масса станка,
13,"Габариты станка (длина ширина высота), мм",400 × 340 × 340
14,"Масса станка, кг",20
