index,Наименование параметра,1613 Д
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",240
3,"Наибольший диаметр заготовки над суппортом, мм",155
4,"Наибольшая длина заготовки (РМЦ), мм",270
5,"Наибольшая длина обточки заготовки, мм",190
6,"Высота центров над станиной, мм",125
7,"Расстояние от опорной поверхности резца до линии центров, мм",12
8,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",105
9,Шпидель,
10,"Диаметр сквозного отверстия в шпинделе, мм",
11,"Наибольший диаметр обрабатываемого прутка в патроне, мм",22
12,"Наибольший диаметр обрабатываемого прутка в цанге, мм",14
13,Число ступеней частот прямого вращения шпинделя,16
14,"Частота прямого вращения шпинделя без перебора, об/мин",
15,"Частота прямого вращения шпинделя с перебором, об/мин",100..2000
16,"Размер внутреннего конуса в шпинделе, М",
17,Торможение шпинделя,есть
18,Суппорт,
19,"Наибольшее перемещение суппорта продольное/ поперечное, мм",190/ 135
20,Число ступеней продольных подач,15
21,"Пределы рабочих подач продольных, мм/об",005..25
22,"Пределы рабочих подач поперечных, мм/об",нет
23,"Скорость быстрых перемещений суппорта, продольных, мм/мин",нет
24,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
25,Количество нарезаемых резьб метрических,15
26,"Пределы шагов нарезаемых резьб метрических, мм",025..25
27,Количество нарезаемых резьб дюймовых,-
28,Пределы шагов нарезаемых резьб дюймовых,-
29,Количество нарезаемых резьб модульных,
30,Пределы шагов нарезаемых резьб модульных,-
31,"Перемещение на одно деление лимба в продольном/ поперечном направлении, мм","0,05/ 0,05"
32,"Перемещение на один оборот лимба в продольном/ поперечном направлении, мм","2,5/ 2,5"
33,Выключающие упоры продольные,нет
34,Выключающие упоры поперечные,нет
35,Верхние салазки,
36,Число резцов в резцедержке,1
37,"Наибольшее перемещение салазок, мм",145
38,"Перемещение салазок на одно деление лимба, мм",005
39,"Перемещение салазок на один оборот лимба, мм",25
40,"Угол поворота салазок, град",±60°
41,"Наибольшее сечение державки резца (ширина х высота), мм",20 х 15
42,Задняя бабка,
43,"Наибольшее перемещение пиноли задней бабки, мм",80
44,"Конус пиноли задней бабки, мм",Морзе 2
45,"Диаметр пиноли задней бабки, мм",
46,"Наибольшее поперечное смещение задней бабки, мм",±10
47,"Перемещение пиноли на одно деление линейки, мм",1
48,Электрооборудование,
49,Количество электродвигателей на станке,2
50,"Электродвигатель главного привода, кВт (об/мин)","1,0 (1420)"
51,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
52,Габариты и масса станка,
53,"Габариты станка (длина ширина высота), мм",1100 х 680 х 1230
54,"Масса станка, кг",450
