index,Наименование параметра,1615-А
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,
2,"Наибольший диаметр заготовки, обрабатываемой над станиной, мм",300
3,"Наибольший диаметр заготовки, обрабатываемой над суппортом, мм",170
4,"Наибольшая длина заготовки (РМЦ), мм",750
5,"Высота оси центров над плоскими направляющими станины (высота центров), мм",150
6,"Высота от опорной поверхности резца до линии центров, мм",23
7,Шпиндель,
8,"Диаметр сквозного отверстия в шпинделе, мм",32
9,Число ступеней частот прямого вращения шпинделя,12
10,"Частота прямого вращения шпинделя, об/мин","33,5; 47,5; 68; 93; 133; 190; 267; 380; 545; 744; 1070; 1525"
11,"Размер внутреннего конуса в шпинделе, М",Конус морзе 5
12,Конец шпинделя по ГОСТ 12593-72,
13,Суппорт. Подачи,
14,"Наибольшее перемещение продольной каретки суппорта от руки, мм",800
15,"Наибольшее перемещение поперечной каретки суппорта, мм, мм",235
16,"Перемещение продольной каретки суппорта на одно деление лимба, мм",005
17,"Перемещение поперечной каретки суппорта на одно деление лимба, мм, мм",005
18,Число ступеней продольных и поперечных подач,
19,"Пределы продольных рабочих подач, мм/об",007..160
20,"Пределы поперечных рабочих подач, мм/об",003..067
21,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
22,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
23,Количество нарезаемых резьб метрических,22
24,"Пределы шагов нарезаемых резьб метрических, мм",035..80
25,Количество нарезаемых резьб дюймовых,38
26,Пределы шагов нарезаемых резьб дюймовых,64..32
27,Количество нарезаемых резьб модульных,25
28,Пределы шагов нарезаемых резьб модульных,04..8
29,Количество нарезаемых резьб питчевых,нет
30,Пределы шагов нарезаемых резьб питчевых,нет
31,"Наибольшие размеры державки резца (ширина х высота), мм",20 х 20
32,Резцовые салазки,
33,"Наибольшее перемещение резцовых салазок, мм",
34,"Перемещение резцовых салазок на одно деление лимба, мм",
35,"Наибольший угол поворота резцовых салазок, град",±90°
36,"Цена деления шкалы поворота резцовых салазок, град",1°
37,Число резцов в резцовой головке,4
38,Задняя бабка,
39,"Диаметр пиноли задней бабки, мм",
40,Конус отверстия в пиноли задней бабки,Морзе 3
41,"Наибольшее перемещение пиноли, мм",100
42,"Величина поперечного смещения корпуса бабки, мм",±20
43,Электрооборудование,
44,Количество электродвигателей на станке,2
45,"Мощность электродвигателя главного привода, кВт",22
46,Тип электродвигателя главного привода,
47,"Мощность электродвигателя насоса охлаждения, кВт",0125
48,Габариты и масса станка,
49,"Габариты станка (длина ширина высота), мм",2275 х 880 х 1280
50,"Масса станка, кг",1372
