index,Наименование параметра,16К20ПФ1
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",400
3,"Высота оси центров над плоскими направляющими станины, мм",215
4,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",220
5,"Наибольшая длина заготовки, устанавливаемой в центрах (РМЦ), мм","710, 1000"
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",225
7,"Наибольший диаметр сверла при сверлении стальных деталей, мм",25
8,"Наибольшая масса заготовки, обрабатываемой в центрах, кг",460..1300
9,"Наибольшая масса заготовки, обрабатываемой в патроне, кг",200
10,Шпиндель,
11,"Диаметр отверстия в шпинделе, мм",52
12,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",50
13,"Частота вращения шпинделя в прямом направлении, об/мин",125..1600
14,"Частота вращения шпинделя в обратном направлении, об/мин",19..1900
15,Количество прямых скоростей шпинделя,22
16,Количество обратных скоростей шпинделя,11
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Коническое отверстие шпинделя по ГОСТ 2847-67,Морзе 6
19,"Диаметр фланца шпинделя, мм",170
20,"Наибольший крутящий момент на шпинделе, Нм",1000
21,Каретка. Подачи,
22,"Наибольшая длина продольного перемещения (длина обтачивания), мм","645, 935"
23,"Наибольшая длина поперечного перемещения, мм",300
24,"Скорость быстрых продольных перемещений, мм/мин",3800
25,"Скорость быстрых поперечных перемещений, мм/мин",1900
26,"Максимально допустимая скорость перемещений при работе по упорам, мм/мин",250
27,"Минимально допустимая скорость перемещения каретки (суппорта), мм/мин",10
28,"Цена деления лимба продольного перемещения, мм",1
29,"Цена деления лимба поперечного перемещения, мм",005
30,"Диапазон продольных подач, мм/об",005..28
31,"Диапазон поперечных подач, мм/об",0025..14
32,Количество подач продольных,42
33,Количество подач поперечных,42
34,"Пределы шагов метрических резьб, мм",05..112
35,"Пределы шагов дюймовых резьб, ниток/дюйм",56..05
36,"Пределы шагов модульных резьб, модуль",05..112
37,"Пределы шагов питчевых резьб, питч диаметральный",56..05
38,"Наибольшее усилие, допускаемое механизмом подач на резце - продольное, Н",5884
39,"Наибольшее усилие, допускаемое механизмом подач на резце - поперечное, Н",3530
40,"Суппорт (Резцовые салазки, верхний суппорт)",
41,"Наибольшее перемещение резцовых салазок, мм",150
42,"Перемещение резцовых салазок на одно деление лимба, мм",005
43,"Наибольший угол поворота резцовых салазок, град",±90°
44,"Цена деления шкалы поворота резцовых салазок, град",1°
45,"Наибольшее сечение державки резца, мм",25 × 25
46,"Высота от опорной поверхности резца до оси центров (высота резца), мм",25
47,Число резцов в резцовой головке,4
48,"Механический привод резцовых салазок в основной комплектации, мм",есть
49,Пределы механических подач резцового суппорта,"0,0125..0,7 (1/4 продольн)"
50,Задняя бабка,
51,"Диаметр пиноли задней бабки, мм",
52,Конус отверстия в пиноли задней бабки по ГОСТ 2847-67,Морзе 5
53,"Наибольшее перемещение пиноли, мм",150
54,"Перемещение пиноли на одно деление лимба, мм",01
55,"Величина поперечного смещения корпуса бабки, мм",±15
56,Электрооборудование,
57,"Электродвигатель главного привода, кВт (об/мин)",11
58,"Электродвигатель гидростанции, кВт (об/мин)",-
59,"Электродвигатель привода быстрых перемещений, кВт (об/мин)",012
60,"Электродвигатель насоса СОЖ, кВт (об/мин)",0125
61,"Суммарная мощность всех электродвигателей, кВт",
62,Устройство цифровой индикации (УЦИ),
63,Система УЦИ,"Ф5071, Ф5075, БС155А"
64,Количество контролируемых координат Ф5071/ ЛЮМО-11,
65,"Дискретность отсчета блока индикации - продольного перемещения, мкм",
66,"Дискретность отсчета блока индикации - поперечного перемещения, мкм",
67,Габариты и масса станка,
68,"Габариты станка (длина ширина высота) РМЦ=1000, мм",2795 × 1190 × 1500
69,"Масса станка, кг",3010
