index,Наименование параметра,16К20Т1.01
0,Основные параметры станка,
1,Тип системы ЧПУ,НЦ-31
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",215
4,"Наибольшая длина обрабатываемого изделия, мм",1000
5,"Наибольшая длина обработки, мм",900
6,"Наибольший диаметр обрабатываемого прутка, мм",53
7,Шпиндель,
8,"Мощность двигателя главного движения, кВт",11
9,Количество рабочих скоростей шпинделя,22
10,"Диаметр отверстия в шпинделе, мм",55
11,"Пределы чисел оборотов шпинделя, об/мин",125...2000
12,Количество автоматически переключаемых скоростей,9
13,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин","Ряд I - 12,5..200Ряд II - 50..800Ряд III - 125..2000"
14,Центр шпинделя передней бабки по ГОСТ 13214-67,7032 - 0043 Морзе №6
15,Центр пиноли задней бабки по ГОСТ 13214-67,7032 - 0045 Морзе №5
16,Конец шпинделя по ГОСТ 12593-72,6К
17,"Наибольший крутящий момент на шпинделе, Нм",1000
18,"Предельный диаметр сверления по стали/ чугуну, мм",25/ 28
19,Подачи,
20,"Наибольшее перемещение суппорта продольное / поперечное, мм",900/ 250
21,"Максимальная скорость продольной/ поперечной рабочей подачи, м/мин","2,0/ 1,0"
22,"Пределы шагов нарезаемых резьб, мм",001..40959
23,"Диапазон скоростей продольных подач, мм/мин",001..28
24,"Диапазон скоростей поперечных подач, мм/мин",0005..14
25,"Скорость быстрых продольных/ поперечных ходов, м/мин",6/ 5
26,Дискретность продольного/ поперечного перемещения,"0,01/ 0,005"
27,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
28,Параметры системы ОСУ,
29,Обозначение системы ОСУ,НЦ-31
30,Число координат,2
31,Количество одновременно управляемых координат,2
32,"Разрешающая способность в продольном направлении (дискретность задания по оси Z), мм",001
33,"Разрешающая способность в поперечном направлении (дискретность задания по оси X), мм",0005
34,Тип датчика обратной связи,ВЕ-178
35,Тип резьбонарезного датчика,ВЕ-178
36,Электрооборудование. Привод,
37,Количество электродвигателей на станке,6
38,"Электродвигатель привода главного движения, кВт",11
39,"Электродвигатель привода продольных подач, кВт",22
40,"Электродвигатель привода поперечных подач, кВт",11
41,"Электродвигатель револьверной головки, кВт",018
42,"Электродвигатель станции смазки каретки, кВт",012
43,"Электродвигатель станции смазки шпиндельной бабки, кВт",-
44,"Электродвигатель насоса охлаждения, кВт",012
45,"Суммарная мощность электродвигателей, кВт",1472
46,"Суммарная мощность станка, кВт",24
47,Габариты и масса станка,3175 х 1700 х 1700
48,"Масса станка с ЧПУ, кг",4100
