index,Наименование параметра,16К20Ф3
0,Основные параметры станка,
1,Обозначение системы ЧПУ,2Р22
2,"Наибольший диаметр обрабатываемого изделия типа диск над станиной, мм",400
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",220
4,"Наибольший диаметр устанавливаемого изделия над станиной, мм",500
5,"Наибольшая длина изделия устанавливаемого в центрах (РМЦ), мм",1000
6,"Наибольшая длина обрабатываемого изделия при числе позиций инструментальной головки (6, 8, 12), мм",870
7,"Наибольший вес заготовки, кг",
8,"Точность позиционирования по осям X/Z, мм",
9,"Повторяемость позиционирования осей X/Z, мм",
10,"Ширина направляющих, мм",
11,Шпиндель,
12,"Диаметр отверстия в шпинделе, мм",53
13,"Мощность двигателя главного движения, кВт",11
14,Количество рабочих скоростей шпинделя,22
15,"Пределы чисел оборотов шпинделя, об/мин",125..2000
16,"Диапазон скоростей шпинделя, устанавливаемый вручную, об/мин",Ряд I - 12.5..200Ряд II - 50..800Ряд III - 125..2000
17,Количество автоматически переключаемых скоростей,9
18,Диапазон автоматического переключения,16
19,Центр шпинделя передней бабки по ГОСТ 13214-67,Морзе №6
20,Центр пиноли задней бабки по ГОСТ 13214-67,Морзе №5
21,Конец шпинделя по ГОСТ 12593,6К
22,"Наибольший продолжительный крутящий момент на шпинделе не менее, Нм (кгс*м)",
23,"Наибольший кратковременный (до 30 минут) крутящий момент на шпинделе не менее, Нм (кгс*м)",
24,"Диаметр 3х кулачкового патрона, мм",
25,Оси. Подачи,
26,"Наибольшее продольное перемещение суппорта (Z), мм",900
27,"Наибольшее поперечное перемещение суппорта (X), мм",250
28,"Пределы шагов нарезаемых резьб, мм",01..39999
29,"Диапазон скоростей продольных подач, мм/мин",3..2000
30,"Диапазон скоростей поперечных подач, мм/мин (мм/об)",3..2000
31,"Скорость быстрых продольных/ поперечных ходов, м/мин","7,0/ 4,0"
32,Резцедержка. Револьверная головка,
33,"Высота резца, мм",25
34,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),6
35,"Размер хвостовика режущего инструмента, мм",
36,Задняя бабка,
37,"Перемещение задней бабки, мм",
38,"Выдвижение пиноли задней бабки, мм",
39,"Диаметр пиноли, мм",
40,"Конус пиноли механической задней бабки, №",
41,Параметры системы ЧПУ,
42,Обозначение системы ЧПУ,2Р22
43,Число координат,2
44,Количество одновременно управляемых координат,2
45,"Дискретность задания координат в продольном/ поперечном направлении (дискретность задания по оси Z, X)",0001
46,"Пределы программируемых подач продольных/ поперечных, мм/об","0,01...20/ 0,01..10"
47,Тип датчика обратной связи по положению и резьбонарезанию,РОД-620
48,Электрооборудование станка,
49,"Электродвигатель главного привода - длительно/ до 30 минут, кВт (об/мин)",11 (1460)
50,"Электродвигатель продольных подач, кВт",
51,"Электродвигатель поперечных подач, кВт",
52,"Электродвигатель продольных подач - номинальный крутящий момент, Нм (кгс*м)",
53,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",
54,"Электродвигатель поперечных подач - номинальный крутящий момент, Нм (кгс*м)",
55,"Электродвигатель станции смазки каретки, кВт/ об/мин",
56,"Электродвигатель станции смазки шпиндельной бабки, кВт/ об/мин",
57,"Электродвигатель насоса охлаждения, кВт/ об/мин",
58,"Электродвигатель инструментальной головки, кВт/ об/мин",
59,"Суммарная мощность электродвигателей, кВт",20
60,"Суммарная мощность станка, кВт",22
61,Габариты и масса станка,
62,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",3700 х 1700 х 2145
63,"Масса станка с ЧПУ, кг",4050
