index,Наименование параметра,Значение
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки над станиной, мм",400
3,"Наибольший диаметр заготовки над суппортом, мм",210
4,"Наибольшая длина заготовки (РМЦ), мм","710, 1000, 1400"
5,"Наибольшая длина обтачивания, мм","960, 1460"
6,"Наибольшее расстояние от оси центров до кромки резцедержателя, мм",225
7,"Высота оси центров над плоской частью станины (высота центров), мм",
8,"Высота резца, устанавливаемого в резцедержателе, мм",25
9,"Наибольший вес обрабатываемого изделия, кг",195
10,Шпиндель,
11,"Диаметр сквозного отверстия в шпинделе, мм",45
12,"Наибольший диаметр прутка, мм",44
13,Число ступеней частот прямого вращения шпинделя,21
14,"Частота прямого вращения шпинделя, об/мин",16..1600
15,Число ступеней частот обратного вращения шпинделя,18
16,"Частота обратного вращения шпинделя, об/мин",16..800
17,"Размер внутреннего конуса в шпинделе, М",Конус морзе 5
18,Конец шпинделя по ГОСТ 12593-72,6К
19,Торможение шпинделя,есть
20,"Наибольший крутящий момент на шпинделе, кгс*м",40
21,"Наибольшее усилие резания, кгс",600
22,Суппорт. Подачи,
23,"Наибольшее продольное перемещение суппорта от руки, по валику, по винту, мм","640, 930, 1330"
24,"Наибольшее поперечное перемещение суппорта от руки, по винту, мм",240
25,Число ступеней продольных и поперечных подач,24
26,"Пределы продольных подач, мм/об",005...28
27,"Пределы поперечных подач, мм/об",0025...14
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",4
29,"Скорость быстрых перемещений суппорта, поперечных, м/мин",2
30,"Продольное перемещение на одно деление лимба, мм",1
31,"Продольное перемещение на одно деление нониуса, мм",01
32,"Поперечное перемещение на одно деление лимба, мм",0025
33,"Продольное перемещение на один оборот лимба, мм",100
34,"Поперечное перемещение на один оборот лимба, мм",5
35,Количество нарезаемых резьб метрических,
36,"Пределы шагов нарезаемых резьб метрических, мм",025...56
37,Количество нарезаемых резьб дюймовых,
38,Пределы шагов нарезаемых резьб дюймовых,112...05
39,Количество нарезаемых резьб модульных,
40,Пределы шагов нарезаемых резьб модульных,025...56
41,Количество нарезаемых резьб питчевых,
42,Пределы шагов нарезаемых резьб питчевых,112...05
43,Предохранитель от перегрузки,есть
44,Блокировка продольных и поперечных подач,есть
45,Выключающие продольные упоры,есть
46,Верхний суппорт (резцовые салазки),
47,"Наибольшее перемещение верхнего суппорта, мм",120
48,"Перемещение на одно деление лимба, мм",002
49,"Перемещение на один оборот лимба, мм",2
50,"Наибольший угол поворота, град",±90°
51,"Цена деления шкалы поворота, град",1°
52,Задняя бабка,
53,"Наибольшее перемещение пиноли задней бабки, мм",120
54,"Цена деления линейки/ нониуса, мм","5/ 0,1"
55,Размер центра в пиноли по ГОСТ 13214-79,КМ 4
56,"Поперечное перемещение задней бабки, мм",±5
57,Электрооборудование,
58,Количество электродвигателей на станке,4
59,"Электродвигатель главного привода, кВт (об/мин)","3,8/6,3 (750/1500)"
60,"Привод ускоренных перемещений, кВт (об/мин)","0,37 (1500)"
61,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (3000)"
62,"Электродвигатель станции смазки, кВт (об/мин)","0,18 (1500)"
63,Габариты и масса станка,
65,"Габариты (станка длина х ширина х высота, РМЦ=1000), мм",2565 х 3020 х 1785
66,"Масса станка (РМЦ=1000), кг",1975
