index,Наименование параметра,16М30Ф3-141
0,Основные параметры станка,
1,Класс точности станка П по ГОСТ 8—82,П
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",670
3,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",320
4,"Наибольшая длина обрабатываемого изделия, мм","1500, 3000"
5,"Наибольшая масса обрабатываемого изделия, мм",850
6,Шпиндель,
7,"Диаметр отверстия в шпинделе, мм",
8,"Наибольший диаметр прутка проходящего через отверстие в шпинделе, мм",80
9,Количество скоростей шпинделя (обшее/ по программе),
10,"Пределы оборотов шпинделя, об/мин",8..2000
11,Конец шпинделя по ГОСТ 12593-72,11М
12,"Наибольший крутящий момент на шпинделе, кНм",229
13,Суппорт,
14,"Наибольшее перемещение суппорта: продольное/ поперечное (рмц=1500, 3000), мм",1260/2700 330
15,"Высота резца, устанавливаемого в резцедержателе, мм",32
16,"Количество инструментов, устанавливаемых в резцедержатель, мм",5..9
17,"Время смены инструмента, с",4
18,"Максимальная скорость продольной подачи при нарезании резьбы, мм/мин",
19,"Наибольшая величина подачи в режиме автоматического управления, мм/мин",
20,"Размеры нарезаемых метрических резьб, мм",
21,"Диапазон скоростей подач (продольных и поперечных), мм/мин",1..4000
22,"Скорость быстрых ходов (продольных/ поперечных), мм/мин",10000/ 10000
23,"Дискретность задания перемещения (продольного/ поперечного, мм","0,001/ 0,001"
24,"Точность перемещения (продольного/ поперечного, мм","0,098/ 0,032"
25,"Наибольшая скорость в режиме ручного управления, мм/об",
26,"Наибольшее усилие подачи (продольное/ поперечное), кН",20/ 20
27,Задняя бабка,
28,Центр шпинделя задней бабки по ГОСТ 13214-67,
29,"Наибольшее перемещение пиноли, мм",
30,"Наибольшее перемещение пиноли от гидроцилиндра, мм",
31,Параметры систем ЧПУ,
32,Обозначение системы ЧПУ,НЦ-31
33,Количество управляемых координат (всего/ одновременно,2/ 2
34,Тип датчика нулевого положения,
35,Тип датчика обратной связи,
36,Электрооборудование и приводы станка,
37,Электросеть,
38,Количество электродвигателей на станке,9
39,"Электродвигатель главного привода, кВт",30
40,"Электродвигатель приводов подач, кВт",30 Нм
41,"Электродвигатель резцедержки, кВт",05
42,"Электродвигатель станции смазки, кВт",15
43,"Электродвигатель насоса охлаждения, кВт",0125
44,"Суммарная мощность электродвигателей, кВт",50
45,"Суммарная мощность станка, кВт",
46,Габариты и масса станка,
47,"Габариты станка (длина х ширина х высота), мм",5290 х 3875 х 2130
48,"Масса станка с ЧПУ, кг",8000
