index,Наименование параметра,16Т02А
0,Основные параметры станка,
1,Класс точности,А
2,"Наибольший диаметр заготовки над станиной, мм",125
3,"Наибольший диаметр заготовки над суппортом, мм",75
4,"Высота центров над плоскими направляющими станины, мм",68
5,"Наибольшая длина заготовки в центрах (РМЦ), мм",250
6,"Наибольшая длина обрабатываемой заготовки без переустановки суппорта, мм",65
7,"Наибольшая высота резца, мм",8 x 8
8,Шпиндель,
9,"Диаметр сквозного отверстия в шпинделе, мм",102
10,Конус Морзе шпинделя,Морзе 0
11,Число ступеней частот прямого вращения шпинделя,6
12,"Частота прямого вращения шпинделя, об/мин","400, 630, 1000, 1250, 2500, 4000"
13,Суппорт. Подачи,
14,Продольное перемещение суппорта,Ручное
15,"Наибольшее поперечное перемещение суппорта, мм",60
16,"Перемещение суппорта поперечное на одно деление лимба, мм",001
17,"Наибольшее перемещение верхних (резцовых) салазок, мм",65
18,"Перемещение резцовых салазок на одно деление лимба, мм",001
19,"Угол поворота верхней каретки суппорта, град",±30
20,Задняя бабка,
21,Конус Морзе задней бабки,Морзе 0
22,"Наибольшее перемещение пиноли, мм",40
23,Электрооборудование,
24,"Электродвигатель главного привода, кВт (об/мин)",025
25,Габариты и масса станка,
26,"Габариты станка (длина ширина высота), мм",695 х 520 х 300
27,"Масса станка, кг",35
