index,Наименование параметра,1740РФ4
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",680
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",530
4,"Наибольший диаметр обрабатываемой в патроне заготовки над суппортом, мм",400
5,"Диаметр отверстия в шпинделе, мм",
6,"Наибольший диаметр прутка, проходящего через отверстие в шпинделе, мм",
7,"Наибольшая длина обрабатываемого изделия, мм",
8,"Наибольшая длина изделия устанавливаемого в центрах, мм","1500, 2000"
9,"Наибольший диаметр сверления в центре изделия, мм",
10,"Высота оси центров от подошвы (основания) станка, мм",1160
11,"Допустимая масса заготовки из стали, кг","1500, 2000"
12,Система УЧПУ,
13,Количество одновременно управляемых координат,
14,Наличие оси С,есть
15,Шпиндель,
16,Количество рабочих скоростей шпинделя,
17,"Пределы чисел оборотов шпинделя, об/мин",0..2800
18,Центр шпинделя передней бабки по ГОСТ 25557-82,
19,"Конец шпинделя фланцевый по ГОСТ 12595-85, тип",
20,"Наибольший допустимый крутящий момент на шпинделе, Н*м",
21,Подачи,
22,"Дискретность задания перемещения продольного (Z)/ поперечного (X), мм",
23,"Наибольшее перемещение суппорта: продольное (Z)/ поперечное (X), мм",
24,"Диапазон скоростей продольных подач (Z), мм/мин",1..10000
25,"Диапазон скоростей поперечных подач (X), мм/мин (мм/об)",1..10000
26,"Скорость быстрых продольных/ поперечных ходов, м/мин",10
27,Количество позиций на поворотной резцедержке (число инструментов в револьверной головке),12
28,"Наибольший шаг нарезаемой резьбы, мм",
29,"Допустимое усилие резания суппорта Рz, Py, Pz кН",
30,Задняя бабка,
31,"Наибольший ход пиноли задней бабки, мм",
32,Конус в пиноли задней бабки,
33,Электрооборудование и привод станка,
34,Питающая сеть станка,~380В 50Гц
35,Количество электродвигателей на станке,
36,"Электродвигатель главного привода, кВт (об/мин)",600
37,"Электродвигатель подач по оси X, кВт",
38,"Электродвигатель подач по оси Z, кВт",
39,"Электродвигатель насоса охлаждения, кВт (об/мин)",
40,"Электродвигатель восьмипозиционной инструментальной головки, кВт (об/мин)",
41,"Электродвигатель транспортера стружки, кВт (об/мин)",
42,"Электродвигатель насоса смазки коробки скоростей, кВт (об/мин)",
43,"Электродвигатель дозаторной смазки, кВт (об/мин)",
44,"Электродвигатель циркуляционной смазки, кВт (об/мин)",
45,"Электродвигатель насоса гидростанции, кВт",
46,"Электродвигатель подпитки, кВт",
47,"Суммарная мощность электродвигателей, кВт",
48,"Суммарная мощность станка, кВт",
49,Габариты и масса станка,
50,"Габаритные размеры станка с ЧПУ (длина, ширина, высота), мм",
51,"Масса станка с ЧПУ, кг",
