index,Наименование параметра,1А240-6
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,Количество рабочих шпинделей,6
3,"Диаметр отверстия в шпинделях, мм",626
4,"Наибольшая длина обработки, мм",160
5,"Наибольшая длина подачи прутка, мм",180
6,"Наибольший диаметр прутка, мм",40
7,"Наибольшая сторона квадратного прутка, мм",28
8,"Наибольшая сторона шестигранного прутка, мм",35
9,"Наибольший диаметр резьбы, нарезаемой метчиками по стали, мм",30
10,"Наибольший диаметр резьбы, нарезаемой метчиками по латуни, мм",36
11,"Наибольшая длина прутка, мм",4000
12,"Наибольшая масса обрабатываемой детали, кг",24
13,Инструментальные суппорты,
14,Количество продольных суппортов,1
15,Количество поперечных суппортов,6
16,"Наибольший общий/ рабочий ход продольного суппорта, мм",180/ 160
17,"Наибольший общий/ рабочий ход поперечного суппорта I, II, III, мм",70/ 40
18,"Наибольший общий/ рабочий ход поперечного суппорта IV, V, мм",95/ 65
19,"Наибольший общий/ рабочий ход отрезного суппорта VI, мм",50/ 30
20,"Частота вращения шпинделей, об/мин (число скоростей)",142..1600
21,"Величина подач продольного суппорта, мм/об",0..667
22,"Величина подач поперечных суппортов, мм/об",0..263
23,Электрооборудование,
24,Количество электродвигателей на станке,
25,"Электродвигатель главного привода (шпинделей), кВт (об/мин)",13
26,"Электродвигатель наладочного вращения, кВт (об/мин)",15
27,"Электродвигатель привода транспортера стружки, кВт",11
28,"Электродвигатель насоса смазки, кВт",22
29,"Электродвигатель насоса охлаждения, кВт",06
30,"Установленная мощность, кВт",249
31,Габариты и масса станка,
32,"Габариты станка без приставного оборудования (длина ширина высота), мм",6050 х 1600 х 1945
33,"Масса станка, кг",9000
