index,Наименование параметра,1А734Ф3
0,Основные параметры станка,
1,Класс точности станка по ГОСТ 8—82,П
2,"Наибольший диаметр обрабатываемого изделия, мм",320
3,"Наибольшая высота диаметр обрабатываемого изделия в патроне, мм",200
4,"Расстояние от основания станка до верхнего торца шпинделя, мм",1180
5,Количество шпинделей,1
6,Количество суппортов,2
7,Количество револьверных головок,2
8,Позиций револьверных головок,4+4
9,"Наибольший сечение резцов, мм",32; 40
10,Количество инструмента,8..16
11,"Наибольшее расстояние от базовоо торца шпинделя до верхнего торца заготовки, мм",400
12,"Наибольший диаметр сверления, мм",32
13,Шпиндель,
14,"Диаметр патрона, мм",400
15,"Диаметр отверстия в шпинделе, мм",100
16,"Обозначение конуса в шпинделе по ГОСТ 12595-72, мм",11
17,"Частота вращения шпинделя, об/мин",14..1000
18,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",4000
19,Суппорты. Подачи,
20,"Наибольшее перемещение (ход) суппорта вдоль оси шпинделя, мм",600
21,"Диапазон скоростей подач суппорта, мм/мин",1..1250
22,"Скорость быстрого перемещения суппорта в вертикальном направлении, м/мин",96
23,"Скорость быстрого перемещения суппорта в горизонтальном направлении, м/мин",48
24,"Наибольшее тяговое усилие суппорта в вертикальном направлении, кН",14
25,"Наибольшее тяговое усилие суппорта в горизонтальном направлении, кН",10
26,Электрооборудование станка,
27,"Количество электродвигателей на станке, кВт",11
28,"Электродвигатель постоянного тока главного привода, кВт",37
29,"Электродвигатели постоянного тока приводов подач, кВт","3,62 х 2"
30,"Электродвигатели постоянного тока приводов подач, кВт","1,7 х 2"
31,"Электродвигатель гидростанции смазки направляющих суппортов, кВт",009
32,"Электродвигатель гидростанции смазки шпиндельной бабки, кВт",027
33,"Электродвигатель гидростанции, кВт",4
34,"Электродвигатель стружкосборника, кВт","1,1 х 2"
35,"Электродвигатель насоса охлаждения, кВт",06
36,"Ообщая установленная мощность электродвигателей, кВт",5494
37,Габариты и масса станка,
38,"Габаритные размеры станка (длина, ширина, высота), мм",3340 х 2300 х 3580
39,"Масса станка, кг",13470
