index,Наименование параметра,1В625М
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр заготовки над станиной, мм",500
3,"Наибольший диаметр заготовки над суппортом, мм",290
4,"Наибольший диаметр заготовки над выемкой станины, мм",690
5,"Наибольшая длина заготовки (РМЦ), мм",100015002000
6,"Наибольшая длина обтачивания, мм",90014001900
7,"Наибольшая масса заготовки в патроне, кг",
8,"Наибольшая масса заготовки в центрах, кг",
9,Шпиндель,
10,"Диаметр сквозного отверстия в шпинделе, мм",60
11,"Наибольший диаметр прутка, мм",
12,Число ступеней частот прямого вращения шпинделя,24
13,"Частота прямого вращения шпинделя, об/мин",10...1400
14,Число ступеней частот обратного вращения шпинделя,12
15,"Частота обратного вращения шпинделя, об/мин",16..1800
16,Размер внутреннего конуса в шпинделе,М5
17,Конец шпинделя по ГОСТ 12593-72,6К
18,Подачи,
19,"Наибольшее продольное перемещение каретки суппорта, мм","900, 1400, 1900"
20,"Наибольшее поперечное перемещение суппорта, мм",302
21,"Наибольшее поперечное перемещение верхнего суппорта (салазок), мм",130
22,Число ступеней продольных/ поперечных подач,50/ 50
23,"Пределы скорости продольных подач, мм/об",0036..224
24,"Пределы скорости поперечных подач, мм/об",0018..112
25,"Скорость быстрых перемещений суппорта, продольных/ поперечных, м/мин",4/ 2
26,"Продольное перемещение на одно деление лимба, мм",1
27,"Продольное перемещение на одно деление нониуса, мм",01
28,"Поперечное перемещение суппорта на одно деление лимба, мм",005
29,"Перемещение салазок на одно деление лимба, мм",005
30,Количество нарезаемых резьб метрических,36
31,"Пределы шагов нарезаемых резьб метрических, мм",05..224
32,Количество нарезаемых резьб дюймовых,45
33,Пределы шагов нарезаемых резьб дюймовых,77..0125
34,Количество нарезаемых резьб модульных,36
35,Пределы шагов нарезаемых резьб модульных,05..224
36,Количество нарезаемых резьб питчевых,45
37,Пределы шагов нарезаемых резьб питчевых,77..0125
38,Предохранитель от перегрузки,есть
39,Блокировка продольных и поперечных подач,есть
40,Выключающие продольные упоры,есть
41,"Шероховатость поверхности заготовки из конструкционной стали при чистовом обтачивании, мкм, не более",
42,Задняя бабка,
43,"Наибольшая длина перемещения пиноли задней бабки, мм",150
44,"Наибольшее перемещение задней бабки, мм",±15
45,Электрооборудование,
46,Количество электродвигателей на станке,3
47,"Электродвигатель главного привода, кВт",75
48,"Привод ускоренных перемещений, кВт",037
49,"Электродвигатель насоса охлаждения, кВт",012
50,"Суммарная мощность, кВт",
51,Габариты и масса станка,
52,"Габариты станка (длина ширина высота) (РМЦ 1000), мм",2800 1370 1700
53,"Масса станка (РМЦ 1000), кг",2430
