index,Наименование параметра,1И140П
0,Основные параметры станка,
1,Класс точности станка Н по ГОСТ 8—71,П
2,"Наибольший диаметр обрабатываемого прутка при внутренней/ внешней подаче, мм",40/ 45
3,"Наибольшая сторона квадрата обрабатываемого квадратного прутка при внутренней/ внешней подаче, мм",
4,"Наибольший размер ""под ключ"" обрабатываемого шестигранника при внутренней/ внешней подаче, мм",
5,"Наибольший размер резьбы, нарезаемой метчиком по стали, мм",М24х3
6,"Наибольший размер резьбы, нарезаемой метчиком по латуни, мм",М27х3
7,"Наименьший размер резьбы, нарезаемой метчиком по стали и латуни, мм",
8,"Наибольший размер резьбы, нарезаемой плашкой по стали, мм",М27х3
9,"Наибольший размер резьбы, нарезаемой плашкой по латуни, мм","М30х3,5"
10,"Наименьший размер резьбы, нарезаемой плашкой по стали и латуни, мм",М6х1
11,"Наибольшая длина подачи прутка, мм",110
12,"Наибольшая длина прутка, мм",3000
13,"Диаметр отверстия в шпинделе, мм",53
14,"Расстояние от торца шпинделя до револьверной головки, мм",85..235
15,Шпиндель,
16,Количество рабочих скоростей шпинделя,б/с
17,"Пределы чисел оборотов шпинделя при прямом (левом) вращении, об/мин",16..4000
18,Зажим изделия,Автомат
19,Переключение скоростей на ходу,Есть
20,Защита от перегрузок,Есть
21,"Время оборота распределительного вала, с",74..1000
22,"Ускоренное вращение распределительного вала, об/мин",
23,"Время переключения скорости вращения шпинделя, с",
24,"Время поворота револьверной головки на одну позицию, с",1
25,"Время подачи и зажима прутка, с",1
26,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",200
27,Подачи,
28,"Наибольшее продольное (Z) перемещение револьверного суппорта, мм",100
29,"Наибольшая длина проточки от револьверного суппорта, мм",100
30,"Диаметр револьверной головки, мм",180
31,"Наибольшая длина регулировки револьверного суппорта, мм",50
32,"Диаметр отверстий в револьверной головке, мм",32
33,Количество поперечных горизонтальных суппортов,2
34,"Наибольший ход поперечных суппортов, мм",45
35,"Наибольший величина регулировки поперечных суппортов, мм",15
36,"Наибольшее перемещение поперечных суппортов на одно деление лимба, мм",005
37,Количество вертикальных суппортов,2
38,"Наибольший ход вертикальных суппортов, мм",45
39,"Наибольший величина регулировки вертикальных суппортов, мм",15
40,Количество продольных суппортов,1
41,"Наибольший ход продольного суппорта, мм",80
42,Количество инструментов в револьверной головке,8
43,Электрооборудование станка,
44,Количество электродвигателей на станке,5
45,"Электродвигатель главного привода, кВт (об/мин)",11 (910)
46,"Электродвигатель привода вспомогательного вала, кВт (об/мин)","1,1 (920)"
47,"Электродвигатель насоса смазки, кВт (об/мин)","0,25 (1380)"
48,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,6 (2800)"
49,"Электродвигатель привода приспособлений, кВт (об/мин)",
50,"Суммарная мощность всех электродвигателей, кВт",729
51,Габариты и масса станка,
52,"Габаритные размеры станка (длина, ширина, высота), мм",2180 х 1180 х 1700
53,"Масса станка, кг",3000
