index,Наименование параметра,1Н713П
0,Основные параметры станка,
1,Год начала серийного выпуска,1984
2,Точность по ГОСТ 8-82,П
3,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
4,"Наибольший диаметр обрабатываемого изделия над суппортом, мм",250
5,"Наибольшая длина обрабатываемого изделия, мм",710
6,"Наибольший вес изделия обрабатываемого в центрах, кг",
7,"Диаметр отверстия в шпинделе, мм",60
8,"Высота центров над продольным суппортом, мм",60
9,"Высота центров над поперечным суппортом, мм",60
10,"Высота центров над основанием станка, мм",1060
11,"Высота сечения устанавливаемых резцов, мм",25..32
12,Шпиндель,
13,Количество рабочих скоростей шпинделя,14
14,"Пределы чисел оборотов прямого вращения шпинделя, об/мин",63..1250
15,"Наибольший крутящий момент на шпинделе не менее, кНм (кгс*м)",25
16,Конус в шпинделе,"М80, Морзе 6"
17,Конец шпинделя по ГОСТ 12595-72,1-8М
18,Продольный суппорт,
19,Количество подач продольного суппорта,72
20,"Наибольшее поперечное установочное перемещение суппорта, мм",112
21,"Наибольшее поперечное рабочее перемещение суппорта, мм",105
22,"Наибольшее продольное рабочее перемещение суппорта, мм","600, 800"
23,"Цена деления лимба, мм",
24,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",10..1000
25,"Допустимое тяговое усилие на ходовом винте, кгс",
26,"Скорость быстрых перемещений продольного суппорта, мм/мин",
27,Количество проходов в цикле,1..2
28,Количество сменяемых копиров,2
29,Поперечный суппорт,
30,Количество подач поперечного суппорта,72
31,"Наибольшее поперечное установочное перемещение суппорта, мм",160
32,"Наибольшее поперечное рабочее перемещение суппорта, мм",160
33,"Наибольшее продольное установочное перемещение суппорта, мм",500
34,"Цена деления лимба, мм",
35,"Диапазон скоростей продольных подач револьверного суппорта, мм/мин",10..1000
36,"Скорость быстрых перемещений поперечного суппорта, мм/мин",
37,"Допустимое тяговое усилие на ходовом винте, кгс",
38,Задняя бабка,
39,Конус пиноли,Морзе 5
40,"Наибольшее перемещение пиноли, мм",160
41,Электрооборудование станка,
42,Привод главного движения,Размер 2М-5-1
43,"Количество электродвигателей на станке, кВт",7
44,"Электродвигатель главного привода, кВт",185
45,"Электродвигатель привода быстрых и рабочих подач продольного суппорта, кВт",15
46,"Электродвигатель привода быстрых и рабочих подач поперечного суппорта, кВт",15
47,"Электродвигатель привода насоса циркуляционной смазки, кВт",027
48,"Электродвигатель гидростанции, кВт",3
49,"Электродвигатель насоса охлаждения, кВт",015
50,"Электродвигатель транспортера стружки, кВт",037
51,"Суммарная мощность электродвигателей на станке, кВт",2629
52,Габариты и масса станка,
53,"Габаритные размеры станка (длина, ширина, высота), мм",
54,"Масса станка , кг",
