index,Наименование параметра,1П365
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82,Н
2,"Наибольший диаметр обрабатываемого изделия над станиной, мм",500
3,"Наибольший диаметр обрабатываемого изделия над поперечным суппортом, мм",320
4,"Высота центров, мм",250
5,"Расстояние от торца шпинделя до револьверной головки, мм",275..1000
6,Шпиндель,
7,"Диаметр отверстия в шпинделе, мм",80
8,"Диаметр обрабатываемого прутка, зажимаемого в подающей трубе (прутковое исполнение), мм",
9,"Диаметр обрабатываемого прутка при переднем зажиме (прутковое исполнение), мм",
10,"Диаметр зажимного патрона, мм",
11,Количество рабочих скоростей шпинделя,12
12,"Пределы чисел оборотов шпинделя, об/мин",34..1500
13,"Пределы чисел оборотов шпинделя (обратное вращение), об/мин",34..1500
14,Конец шпинделя фланцевый по ГОСТ 12595-72,1-8Ц
15,"Наибольший крутящий момент на шпинделе не менее, Нм (кг*м)",123
16,Револьверный суппорт,
17,Количество инструментов в револьверной головке,6
18,"Диаметр отверстия под инструмент в револьверной головке, мм",95Н7
19,"Наибольшее продольное перемещение револьверного суппорта, мм",725
20,Количество ступеней подач,13
21,"Диапазон скоростей продольных подач револьверного суппорта, I ряд, мм/об (число подач)","0,09..1,35 (9)"
22,"Диапазон скоростей продольных подач револьверного суппорта, II ряд, мм/об (число подач)","0,18..2,70 (9)"
23,"Диапазон скоростей продольных подач револьверного суппорта, III ряд, мм/об (число подач)",-
24,"Скорость быстрого продольного перемещения револьверного суппорта, м/мин",6
25,Число упоров револьверного суппорта,6
26,"Перемещение на одно деление лимба, мм",02
27,"Перемещение на один оборот лимба, мм",45
28,Поперечный суппорт,
29,Количество резцов в резцедержателе,4
30,Количество резцов в заднем резцедержателе,1
31,"Наибольшее перемещение поперечного суппорта продольное/поперечное, мм",725/ 310
32,Количество ступеней продольных подач поперечного суппорта,12
33,"Диапазон скоростей продольных подач револьверного суппорта, I ряд, мм/об (число подач)","0,09..1,35 (9)"
34,"Диапазон скоростей продольных подач револьверного суппорта, II ряд, мм/об (число подач)","0,18..2,70 (9)"
35,"Диапазон скоростей продольных подач револьверного суппорта, III ряд, мм/об (число подач)",-
36,Количество ступеней поперечных подач поперечного суппорта,12
37,"Диапазон скоростей поперечных подач поперечного суппорта, I ряд, мм/об",0045..07
38,"Диапазон скоростей поперечных подач поперечного суппорта, II ряд, мм/об",009..135
39,"Диапазон скоростей поперечных подач поперечного суппорта, III ряд, мм/об",-
40,"Скорость быстрого продольного перемещения суппорта, м/мин",6
41,"Скорость быстрого поперечного перемещения суппорта, м/мин",-
42,Число упоров продольного перемещения,5
43,Число упоров поперечного перемещения,2
44,"Перемещение на одно деление лимба продольное/поперечное, мм","0,2/ 0,05"
45,"Перемещение на один оборот лимба продольное/поперечное, мм",45/ 10
46,Электрооборудование станка,
47,"Количество электродвигателей на станке, кВт (об/мин)",2
48,"Электродвигатель главного привода, кВт (об/мин)",13 (1450)
49,"Электродвигатель гидропривода, кВт (об/мин)",-
50,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,125 (2800)"
51,Габариты и масса станка,
52,"Габаритные размеры станка (длина, ширина, высота), мм",3430 х 1500 х 1655
53,"Масса станка , кг",3900
