index,Наименование параметра,2431СФ10
0,Основные параметры станка,
1,Класс точности по ГОСТ 8-82Е,С
2,"Наибольший диаметр сверления в стали 45, мм",145
3,"Наибольший диаметр рассверливания, мм",30
4,"Наибольший диаметр растачивания, мм",220
5,"Наибольший диаметр фрезы при фрезеровании, мм",63
6,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",50..575
7,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",320
8,Стол,
9,"Рабочая поверхность стола, мм",320 х 560
10,"Наибольшее продольное перемещение стола, мм",400
11,"Наибольшее поперечное перемещение стола, мм",250
12,"Наибольшая масса обрабатываемого изделия, кг",300
13,Число Т- образных пазов на столе,5
14,Количество подач стола,Б/С
15,"Величина ускоренного перемещения стола, мм/мин",2000
16,"Пределы рабочих подач при фрезеровании, мм/мин",1..1200
17,"Цена деления растровой сетки установки координат, мм",
18,"Цена деления лимбов продольного и поперечного перемещения, мм",
19,"Цена деления нониусов продольного и поперечного перемещения, мм",
20,"Цена деления оптического отсчетного устройства станка 2431с, мм",0001
21,"Дискретность отсчета блока УЦИ станка 2431сф10, мм",0001
22,"Точность установки координат, мм",0002
23,Шпиндель,
24,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя ручное, мм",125
25,"Наибольшее вертикальное (ход) перемещение гильзы шпинделя механическое, мм",125
26,"Диаметр передней опоры шпинделя, мм",60
27,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",400
28,"Скорость перемещения шпиндельной бабки (головки), мм/мин",1200
29,Количество скоростей шпинделя,Б/С
30,"Частота вращения шпинделя, об/мин",10..3000
31,Количество подач шпинделя,6
32,Внутренний конус шпинделя,
33,Наибольший конус закрепляемого инструмента,
34,Закрепление шпиндельной коробки на направляющих,ручное
35,Предохранение от перегрузки механизма подач,
36,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,02; 0,03; 0,05; 0,08; 0,12; 0,20"
37,"Максимальный момент на шпинделе, Н*м",52
38,Привод,
39,Количество электродвигателей на станке,4
40,"Электродвигатель привода главного движения, кВт (об/мин)","1,9 (1060), =220В"
41,"Привод перемещения стола, кВт","0,18 (1000), =36В"
42,"Привод перемещения салазок. Мощность, кВт (об/мин)","0,18 (1000), =36В"
43,"Привод перемещения шпиндельной головки. Мощность, кВт (об/мин)","0,55 (3000)"
44,"Привод зажима отжима стола, кВт",
45,"Привод зажима отжима салазок, кВт",
46,Электронасос охлаждающей жидкости Тип,ПА-22
47,Габарит станка,
48,"Габариты станка, включая ход стола и салазок, мм",2360 х 1900 х 1580
49,"Масса станка, кг",2500
