index,Наименование параметра,250-ИТВ
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",300
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",240
4,"Наибольший диаметр заготовки над суппортом, мм",168
5,"Наибольшая длина заготовки (РМЦ), мм",500
6,"Наибольшая длина обточки, мм",
7,"Высота центров, мм",150
8,"Высота резца, мм",16 х 16
9,Шпидель,
10,"Диаметр сквозного отверстия в шпинделе, мм",25
11,"Наибольший диаметр прутка, мм",24
12,Число ступеней частот прямого вращения шпинделя,18
13,"Частота прямого вращения шпинделя, об/мин (число ступеней)",63..3150 (18)
14,Размер внутреннего конуса в шпинделе (ГОСТ 13214),Морзе 4
15,Торможение шпинделя,есть
16,Конец шпинделя по ГОСТ 12593-72,4К
17,Подачи,
18,"Наибольшая длина хода каретки, мм",500
19,"Наибольшее поперечное перемещение суппорта, мм",170
20,"Продольное перемещение суппорта за один оборот лимба, мм",20
21,"Цена деления лимба продольного перемещения суппорта, мм",01
22,"Цена деления лимба поперечного перемещения суппорта, мм",002
23,"Поперечное перемещение суппорта за один оборот лимба, мм",2
24,Число ступеней продольных подач,24
25,"Пределы рабочих подач продольных, мм/об",001..15
26,Число ступеней поперечных подач,24
27,"Пределы рабочих подач поперечных, мм/об",0005..075
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
29,"Наибольшее допустимое тяговое усилие, Н (кг)",5000 (500)
30,Количество нарезаемых резьб метрических,30
31,"Пределы шагов нарезаемых резьб метрических, мм","0,2..24 (30)"
32,Количество нарезаемых резьб дюймовых,21
33,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..1 (21)
34,Количество нарезаемых резьб модульных,21
35,"Пределы шагов нарезаемых резьб модульных, модули","0,2..6 (21)"
36,Пределы шагов нарезаемых резьб питчевых,нет
37,Верхние салазки суппорта (Резцовые салазки),
38,"Наибольшее перемещение салазок, мм",
39,"Цена деления лимба перемещения салазок, мм",002
40,"Перемещение салазок за один оборот лимба, мм",
41,Резьбоуказатель,нет
42,Блокировка,есть
43,Предохранение от перегрузок,есть
44,Выключающие упоры продольные / поперечные,есть
45,Быстрый ход,нет
46,Задняя бабка,
47,Центр в пиноли задней бабки,Морзе 3
48,"Наибольшее перемещение пиноли задней бабки, мм",
49,"Цена деления линейки/ лимба перемещения пиноли задней бабки, мм",
50,"Поперечное смещение задней бабки, мм",±10
51,Электрооборудование,
52,Количество электродвигателей на станке,3
53,"Мощность электродвигателя главного привода, кВт (об/мин)",3 (1430)
54,Тип электродвигателя главного привода,
55,"Мощность электродвигателя станции смазки, кВт (об/мин)","0,09 (2700)"
56,Тип электродвигателя гидростанции,
57,Тип станции смазки,С48-12М
58,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)","0,12 (2800)"
59,Насос охлаждения (помпа),
60,Габариты и масса станка,
61,"Габариты станка (длина ширина высота), мм",
62,"Масса станка, кг",
