index,Наименование параметра,250-ИТП
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,П
2,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",300
3,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",240
4,"Наибольший диаметр заготовки над суппортом, мм",168
5,"Наибольшая длина заготовки (РМЦ), мм",500
6,"Наибольшая длина обточки, мм",
7,"Высота центров, мм",150
8,"Высота резца, мм",16 х 16
9,Шпидель,
10,"Диаметр сквозного отверстия в шпинделе, мм",25
11,"Наибольший диаметр прутка, мм",24
12,Число ступеней частот прямого вращения шпинделя,18
13,"Частота прямого вращения шпинделя, об/мин (число ступеней)",63..3150 (18)
14,Размер внутреннего конуса в шпинделе (ГОСТ 13214),Морзе 4
15,Конец шпинделя по ГОСТ 12593-72,4К
16,Подачи,
17,"Наибольшая длина хода каретки, мм",500
18,"Наибольшее поперечное перемещение суппорта, мм",170
19,"Продольное перемещение суппорта за один оборот лимба, мм",20
20,"Цена деления лимба продольного перемещения суппорта, мм",01
21,"Цена деления лимба поперечного перемещения суппорта, мм",002
22,"Поперечное перемещение суппорта за один оборот лимба, мм",2
23,Число ступеней продольных подач,24
24,"Пределы рабочих подач продольных, мм/об",001..15
25,Число ступеней поперечных подач,24
26,"Пределы рабочих подач поперечных, мм/об",0005..075
27,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
28,"Наибольшее допустимое тяговое усилие, Н (кг)",5000 (500)
29,Количество нарезаемых резьб метрических,30
30,"Пределы шагов нарезаемых резьб метрических, мм","0,2..24 (30)"
31,Количество нарезаемых резьб дюймовых,21
32,"Пределы шагов нарезаемых резьб дюймовых, ниток на дюйм",24..1 (21)
33,Количество нарезаемых резьб модульных,21
34,"Пределы шагов нарезаемых резьб модульных, модули","0,2..6 (21)"
35,Пределы шагов нарезаемых резьб питчевых,нет
36,Верхние салазки суппорта (Резцовые салазки),
37,"Наибольшее перемещение салазок, мм",
38,"Цена деления лимба перемещения салазок, мм",002
39,"Перемещение салазок за один оборот лимба, мм",
40,Резьбоуказатель,нет
41,Блокировка,есть
42,Предохранение от перегрузок,есть
43,Выключающие упоры продольные и поперечные,есть
44,Быстрый ход,нет
45,Задняя бабка,
46,Центр в пиноли задней бабки,Морзе 3
47,"Наибольшее перемещение пиноли задней бабки, мм",
48,"Цена деления линейки/ лимба перемещения пиноли задней бабки, мм",
49,"Поперечное смещение задней бабки, мм",±10
50,Электрооборудование,
51,Количество электродвигателей на станке,3
52,"Мощность электродвигателя главного привода, кВт (об/мин)",3 (1430)
53,Тип электродвигателя главного привода,
54,"Мощность электродвигателя станции смазки, кВт (об/мин)","0,09 (2700)"
55,Тип электродвигателя гидростанции,
56,Тип станции смазки,С48-12М
57,"Мощность электродвигателя насоса охлаждения, кВт (об/мин)","0,12 (2800)"
58,Насос охлаждения (помпа),
59,Габариты и масса станка,
60,"Габариты станка (длина ширина высота), мм",
61,"Масса станка, кг",
