index,Наименование параметра,250ИТВМ.03
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольший диаметр заготовки обрабатываемой над станиной, мм",240
3,"Наибольший диаметр заготовки обрабатываемой над суппортом, мм",168
4,"Наибольший диаметр заготовки устанавливаемой над станиной, мм",300
5,"Наибольшая длина заготовки (РМЦ), мм",750
6,Шпиндель,
7,"Диаметр сквозного отверстия в шпинделе, мм",25
8,"Наибольший диаметр прутка, проходящий через отверстие в шпинделе, мм",24
9,"Количество ступеней прямого вращения шпинделя, об/мин",21
10,"Частота прямого вращения шпинделя, об/мин",25..2500
11,"Количество ступеней обратного вращения шпинделя, об/мин",21
12,"Частота обратного вращения шпинделя, об/мин",25..2500
13,"Размер внутреннего конуса в шпинделе, М",Морзе 4
14,Конец шпинделя по ГОСТ 12593-72,4
15,"Допустимый крутящий момент на шпинделе, Нм",105190
16,Подачи,
17,"Наибольшая длина хода каретки суппорта, мм",500
18,"Цена деления лимба продольного перемещения суппорта, мм",01
19,"Продольное перемещение за один оборот лимба, мм",20
20,"Наибольшее поперечное перемещение суппорта, мм",165
21,"Цена деления лимба поперечного перемещения суппорта, мм",005
22,"Поперечное перемещение за один оборот лимба, мм",3
23,"Наибольшее перемещение верхних салазок суппорта, мм",120
24,Число ступеней продольных подач,
25,"Пределы рабочих подач продольных, мм/об",001..18
26,Число ступеней поперечных подач,
27,"Пределы рабочих подач поперечных, мм/об",0005..09
28,"Скорость быстрых перемещений суппорта, продольных, м/мин",нет
29,"Скорость быстрых перемещений суппорта, поперечных, м/мин",нет
30,Количество нарезаемых резьб метрических,
31,"Пределы шагов нарезаемых резьб метрических, мм",02..48
32,Количество нарезаемых резьб дюймовых,
33,Пределы шагов нарезаемых резьб дюймовых,24..05
34,Количество нарезаемых резьб модульных,
35,Пределы шагов нарезаемых резьб модульных,02..12
36,Количество нарезаемых резьб питчевых,нет
37,Дискретность УЦИ по координатам X/Z. мм,-
38,Задняя бабка,
39,Размер внутреннего конуса пиноли задней бабки по ГОСТ 25557-82,Морзе 3
40,Центр пиноли задней бабки по ГОСТ 13214-79,Морзе 3
41,"Наибольшее перемещение пиноли задней бабки, мм",85
42,"Цена деления линейки перемещение пиноли, мм",1
43,"Цена деления лимба перемещение пиноли, мм",005
44,"Поперечное смещение пиноли, мм",±10
45,Электрооборудование,
46,Количество электродвигателей на станке,3
47,"Электродвигатель главного привода, кВт/ об/мин",3/ 1410
48,"Электродвигатель станции смазки, кВт/ об/мин","0,09/ 1350"
49,"Электродвигатель насоса охлаждения, кВт/ об/мин","0,18/ 2730"
50,Насос охлаждения (помпа),ПА-22
51,"Суммарная мощность электродвигателей на станке, кВт",327
52,Габаритные размеры и масса станка,
53,"Габариты станка (длина ширина высота), мм",2005_810_1400
54,"Масса станка, кг",1240
