index,Наименование параметра,2620В
0,Основные параметры станка,
1,"Диаметр выдвижного расточного шпинделя , мм",90
2,"Наибольший диаметр расточки шпинделем, мм",
3,"Наибольший диаметр расточки суппортом планшайбы, мм",
4,"Наибольшая длина расточки и обточки суппортом планшайбы, мм",
5,"Диаметр торцевой обточки суппортом планшайбы, мм",
6,"Наибольший диаметр сверла (по конусу), мм",
7,Стол,
8,"Рабочая поверхность стола, мм",1120 х 1250
9,"Наибольшая масса обрабатываемого изделия, кг",3000
10,"Наибольшее перемещение стола (продольное х поперечное), мм",1000 х 1120
11,"Пределы рабочих подач стола (вдоль и поперек), мм/мин",14...1110
12,"Наибольшее усиление подачи стола (вдоль и поперек), кгс",2000
13,"Деление шкалы лимба, мм",
14,"Деление шкалы лимба поворота стола, град",1
15,Выключающие упоры,
16,"Скорость быстрых перемещений, м/мин",
17,"Скорость быстрых установочных круговых перемещений, об/мин",
18,Шпиндель,
19,"Наибольшее горизонтальное (осевое) перемещение шпинделя, мм",710
20,"Частота вращения шпинделя, об/мин (ступеней)","12,5… 1600"
21,Количество скоростей шпинделя,22
22,"Пределы рабочих подач шпинделя, мм/мин","2,2… 1760"
23,"Скорость быстрых перемещений шпинделя, м/мин",
24,"Наибольший крутящий момент на шпинделе, кгс*м",140
25,"Наибольшее усиление подачи шпинделя, кгс",
26,Шпиндельная бабка,
27,"Пределы рабочих подач шпиндельной бабки, мм/мин","1,4… 1110"
28,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное), мм",1000
29,"Скорость быстрых перемещений шпиндельной бабки, м/мин",
30,"Наибольшее усиление подачи бабки, кгс",2000
31,"Нарезаемая метрическая резьба, мм",1… 10
32,"Нарезаемая дюймовая резьба, число ниток на 1""",4… 20
33,Планшайба и радиальный суппорт,
34,"Наибольшее перемещение радиального суппорта планшайбы, мм",160
35,"Скорость быстрых перемещений радиального суппорта, м/мин",
36,"Пределы рабочих подач радиального суппорта, мм/мин","0,88… 700"
37,"Скорость вращения планшайбы, об/мин",8… 200
38,Количество скоростей планшайбы,15
39,Возможность отключения вращения планшайбы,
40,Возможность одновременной подачи суппорта и шпинделя,
41,"Наибольший крутящий момент на планшайбе, кгс*м",250
42,"Наибольшее усиление подачи суппорта, кгс",
43,Привод,
44,Количество электродвигателей на станке,
45,"Электродвигатель привода главного движения Мощность, кВт (об/мин)",10 (2890)
46,"Электродвигатель привода подачи, кВт (об/мин)",21
47,"Электродвигатель привода поворота стола, кВт (об/мин)",20
48,"Электродвигатель насоса смазки, кВт (об/мин)",
49,"Электродвигатель агрегата, кВт (об/мин)",
50,"Возбудитель, кВт (об/мин)",
51,Габариты и масса станка,
52,"Габариты станка, включая ход стола и салазок, мм",5700 х 3400 х 3000
53,"Масса станка, кг",12500
