index,Наименование параметра,2Г106П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали 45 по ГОСТ 1054-74, мм",6
2,Наименьшее и наибольшее расстояние от торца шпинделя до стола,45..250
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",160
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",200 х 200
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",135
9,"Ход гильзы шпинделя, мм",70
10,"Частота вращения шпинделя, об/мин","710, 1120, 1800, 2800, 4500, 7100, 11200"
11,Количество скоростей шпинделя,7
12,Конус шпинделя,Морзе Iв
13,Привод,
14,Питающая сеть,380 В
15,"Электродвигатель привода, кВт (об/мин)","0,37 (3000)"
16,Габарит и масса станка,
17,"Габариты станка (длина ширина высота), мм",580 х 292 х 530
18,"Масса станка, кг",76
