index,Наименование параметра,2Е440А
0,Основные параметры станка,
1,"Класс точности (Н,П,В,А,С)",А
2,"Рабочая поверхность стола, мм",710 х 400
3,"Наибольший диаметр сверления в стали 45, мм",25
4,"Наибольший диаметр расточки в стали 45, мм",250
5,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",158..630
6,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",500
7,Шпиндельная бабка,
8,"Частота вращения шпинделя (б/с регулирование), об/мин",50...2000
9,"Пределы рабочих подач гильзы шпинделя на один оборот шпинделя, мм/об","0,03...0,16 9 ступеней"
10,"Наибольшее вертикальное перемещение шпинделя (ход) (ручное, механическое), мм",
11,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное от руки), мм",
12,Внутренний конус шпинделя (внутренний конус) специальный,№ 40 7:24
13,Наибольший конус закрепляемого инструмента,Морзе 4
14,Закрепление шпиндельной коробки на направляющих,ручное
15,Рабочий стол,
16,"Наибольшее перемещение стола (продольное/ поперечное), мм",630 х 400
17,Число Т- образных пазов на столе,5
18,"Величина ускоренного перемещения стола и салазок, мм/мин",1600
19,"Пределы рабочих подач стола и салазок при фрезеровании, мм/мин",20..315
20,"Наибольшая масса обрабатываемого изделия, кг",320
21,Точность станка,
22,"Цена деления растровой сетки установки координат, мм",0001
23,"Точность установки координат, мм",0005
24,"Точность расстояний между осями отверстий, растачиваемых на станке, мм",0008
25,"Точность растачиваемого диаметра (постоянство диаметра), мм",0004
26,Предохранение от перегрузки механизма подач,есть
27,Привод,
28,Количество электродвигателей на станке,5
29,"Электродвигатель привода главного движения, кВт",45
30,"Электродвигатель привода перемещения стола, кВт",0245
31,"Электродвигатель привода перемещения салазок, кВт",0245
32,"Электродвигатель насоса системы смазки, кВт",
33,Электронасос охлаждающей жидкости,"ПА-22М, 0,125 кВт"
34,Габарит станка,
35,"Габариты станка, включая ход стола и салазок, мм",2440 х 2195 х 2385
36,"Масса станка, кг",3400
