index,Наименование параметра,2К52-1
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",25
3,"Диапазон нарезаемой резьбы в стали 45, мм",М16
4,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",300..800
5,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",410...900
6,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",125..1000
7,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",625
8,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",250
9,"Угол поворота рукава вокруг колонны, град",360
10,"Диаметр колонны, мм",180
11,"Рамер поверхности плиты (ширина длина), мм",800 х 630
12,Шпиндель,
13,"Частота прямого вращения шпинделя, об/мин",63..1600
14,Количество скоростей шпинделя прямого вращения,8
15,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,125; 0,2; 0,315"
16,Число ступеней рабочих подач,3
17,"Наибольший допустимый крутящий момент, Н-м",90
18,"Наибольшее усилие подачи, кН",5
19,Конус шпинделя,
20,Зажим вращения колонны,Ручной/ эл.мех
21,Зажим рукава на колонне,Ручной
22,Зажим сверлильной головки на рукаве,Ручной
23,Электрооборудование. Привод,
24,Количество электродвигателей на станке,2/ 3
25,"Электродвигатель привода главного движения М2, кВт",15
26,"Электродвигатель зажима колонны М3, кВт",
27,"Электродвигатель насоса охлаждающей жидкости М1, кВт",0125
28,"Суммарная мощность установленных электродвигателей, кВт",
29,Габариты и масса станка,
30,"Габариты станка (длина ширина высота), мм",1760 х 915 х 1970
31,"Масса станка, кг",1250
