index,Наименование параметра,2М103П
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления, мм",3
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",160
3,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",100
4,Рабочий стол,
5,"Размеры рабочей поверхности стола, мм",140 х 140
6,Число Т-образных пазов Размеры Т-образных пазов,1
7,Шпиндель,
8,"Наибольшее перемещение шпиндельной головки по колонне, мм",
9,"Ход гильзы шпинделя, мм",40
10,"Частота вращения шпинделя, об/мин",1900..16000
11,Количество скоростей шпинделя,10
12,Конус шпинделя,Морзе 1а
13,Привод,
14,"Электродвигатель привода, кВт (об/мин)","0,18 (2800)"
15,Габарит и масса станка,
16,"Габариты станка (длина ширина высота), мм",380 х 200 х 535
17,"Масса станка, кг",40
