index,Наименование параметра,2М55
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",50
3,"Наибольший условный диаметр сверления в чугуне, мм",63
4,"Диапазон нарезаемой резьбы в стали 45, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",375...1600
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",1225
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",450...1600
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",750
9,"Скорость вертикального перемещения рукава по колонне, м/мин",
10,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",400
11,"Угол поворота рукава вокруг колонны, град",360°
12,"Рамер поверхности плиты (ширина длина), мм",1000 х 2555
13,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
14,Шпиндель,
15,"Диаметр гильзы шпинделя, мм",
16,Обозначение конца шпинделя по ГОСТ 24644-81,Морзе 5
17,"Частота прямого вращения шпинделя, об/мин",20...2000
18,Количество скоростей шпинделя прямого вращения,21
19,"Частота обратного вращения шпинделя, об/мин",
20,Количество скоростей шпинделя обратного вращения,
21,"Пределы рабочих подач на один оборот шпинделя, мм/об",0056...25
22,Число ступеней рабочих подач,12
23,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
24,"Перемещение шпинделя на одно деление лимба, мм",1
25,"Перемещение шпинделя на оборот лимба, мм",
26,"Наибольший допустимый крутящий момент, кгс*см",7100
27,"Наибольшее усилие подачи, кН",20
28,Зажим вращения колонны,Гидро
29,Зажим рукава на колонне,Электр
30,Зажим сверлильной головки на рукаве,Гидр
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,6
33,"Электродвигатель привода главного движения, кВт (об/мин)",45
34,"Электродвигатель привода перемещения рукава, кВт (об/мин)",22
35,"Электродвигатель привода гидрозажима колонны, кВт (об/мин)",055
36,"Электродвигатель привода гидрозажима сверлильной головки, кВт (об/мин)",-
37,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",0125
38,"Электродвигатель набора скоростей, кВт (об/мин)",015
39,"Электродвигатель набора подач, кВт",015
40,"Электродвигатель привода ускоренного перемещения шпинделя, кВт",-
41,"Суммарная мощность установленных электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",2665 х 1020 х 3430
44,"Масса станка, кг",4700
