index,Наименование параметра,2Н118-1
0,Основные параметры станка,
1,"Наибольший условный диаметр сверления в стали σ = 50..60 кг*мм2, мм",18
2,"Наименьшее и наибольшее расстояние от торца шпинделя до стола, мм",150..650
3,"Наименьшее и наибольшее расстояние от торца шпинделя до фундаментной плиты, мм",
4,"Расстояние от оси вертикального шпинделя до направляющих стойки (вылет), мм",200
5,Рабочий стол,
6,"Размеры рабочей поверхности стола (длина х ширина), мм",360 х 480
7,Число Т-образных пазов Размеры Т-образных пазов,3
8,"Наибольшее вертикальное перемещение стола (ось Z), мм",350
9,"Перемещение стола на один оборот рукоятки, мм",
10,Шпиндель,
11,"Наибольшее перемещение шпиндельной головки по колонне, мм",
12,"Наибольшее осевое перемещение шпинделя (гильзы шпинделя), мм",150
13,"Перемещение шпиндельной головки на один оборот маховичка, мм",
14,"Перемещение шпинделя на одно деление лимба, мм",
15,"Перемещение шпинделя на один оборот маховичка-рукоятки, мм",
16,"Частота вращения шпинделя, об/мин (количество скоростей)",180..2800 (9)
17,"Наибольший допустимый крутящий момент, Н.м",88
18,Конус шпинделя,Морзе 3АТ8
19,Механика станка,
20,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм (число подач)","0,1..0,56 (6)"
21,"Наибольшая допустимая сила подачи, Н",5600
22,Торможение шпинделя,есть
23,Привод,
24,Электродвигатель привода главного движения Тип,"4АХ80, В4У3"
25,"Электродвигатель привода главного движения, кВт (об/мин)","1,5 (1500)"
26,"Электродвигатель привода подъема стола, кВт (об/мин)","0,37 (1500)"
27,Электронасос охлаждающей жидкости,"0,12 (3000)"
28,Электронасос охлаждающей жидкости Тип,ПА-22
29,Габарит и масса станка,
30,"Габариты станка (длина ширина высота), мм",730 х 648 х 1980
31,"Масса станка, кг",600
