index,Наименование параметра,2Р53
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45, мм",35
3,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",750..3150
4,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",-
5,"Наименьшее и наибольшее расстояние от торца шпинделя до рельса, мм",815..2265
6,"Рамер поверхности плиты (ширина длина), мм",-
7,Рукав,
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",1050
9,"Скорость вертикального перемещения рукава по колонне, м/мин",075
10,"Угол поворота рукава вокруг колонны, град",
11,Зажим рукава на колонне,
12,"Скорость передвижения тележки по рельсам,м/мин",127
13,Сверлильная головка,
14,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",100..3400
15,Зажим головки на рукаве,
16,Шпиндель,
17,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",400
18,Противовес,
19,Обозначение конца шпинделя по ГОСТ 24644-81,
20,Конус Морзе,5
21,"Частота прямого вращения шпинделя, об/мин",20..2000
22,"Частота обратного вращения шпинделя, об/мин",25..1600
23,Количество скоростей шпинделя прямого вращения,21
24,"Пределы рабочих подач на один оборот шпинделя, мм/об",0056..250
25,Число ступеней рабочих подач,12
26,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
27,"Перемещение шпинделя на одно деление лимба, мм",
28,"Перемещение шпинделя на оборот лимба, мм",
29,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
30,"Наибольший допустимый крутящий момент, кгс*м",71
31,"Наибольшее усилие подачи, кгс",1250
32,Зажим вращения колонны,Гидро
33,Электрооборудование. Привод,
34,Количество электродвигателей на станке,
35,"Электродвигатель привода главного движения, кВт (об/мин)",4 (1450)
36,"Электродвигатель привода перемещения рукава, кВт (об/мин)",3 (1430)
37,"Электродвигатель привода гидрозажима колонны, кВт (об/мин)","0,5 (1410)"
38,"Электродвигатель привода гидрозажима рукава, кВт (об/мин)","0,5 (1410)"
39,"Электродвигатель привода тележки, кВт (об/мин)","2,2 (950)"
40,"Электродвигатель привода гидрозажима тележки, кВт (об/мин)","1,1 (1400)"
41,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",0125
42,"Суммарная мощность установленных электродвигателей, кВт",
43,Габариты и масса станка,
44,"Габариты станка (длина ширина высота), мм",
45,"Масса станка, кг",
