index,Наименование параметра,2С125-04
0,Основные параметры станка,
1,"Условный диаметр сверления в стали 45 по ГОСТ 1050-88, мм",25
2,"Наибольший диаметр сверления в стали 45 по ГОСТ 1050-88, мм",31
3,"Наибольшая высота заготовки на столе, мм",500
4,"Наибольшая высота заготовки на плите, мм",900
5,"Диаметр нарезания резьбы в стали 45 по ГОСТ 1050-88, мм",М5...М22
6,Рабочий стол,
7,"Размеры рабочей поверхности плиты (длина х ширина), мм",320 х 320
8,"Размеры рабочей поверхности стола (длина х ширина), мм",420 х 300
9,"Наибольший ход подъемного стола (ось Z), мм",680
10,"Наибольшая масса заготовки на столе, кг",100
11,"Наибольшее расстояние от торца шпинделя до стола, мм",730
12,"Наибольшее расстояние от торца шпинделя до плиты, мм",1210
13,"Расстояние от оси шпинделя до направляющих стойки, мм",320
14,Шпиндель,
15,"Наибольшее перемещение (установочное) шпиндельной головки, мм",
16,"Наибольшее перемещение (ход) пиноли шпинделя, мм",110
17,"Частота вращения шпинделя, об/мин",90...1400
18,Количество скоростей шпинделя,9
19,"Наибольший допустимый крутящий момент, Нм",
20,Размер внутреннего конуса шпинделя по ГОСТ 25557-82,Морзе 3
21,Механика станка,
22,Число ступеней рабочих подач,3
23,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм",005...02
24,"Наибольшая допустимая сила подачи (осевое усилие на шпинделе)), Н",
25,Привод,
26,"Электродвигатель привода главного движения, кВт",15
27,Габариты и масса станка,
28,"Габариты станка (длина ширина высота), мм",800 500 2050
29,"Масса станка, кг",450
