index,Наименование параметра,2С125МП
0,Основные параметры станка,
1,"Условный диаметр сверления в стали 45 по ГОСТ 1050-88, мм",
2,"Наибольший диаметр сверления в стали 45 по ГОСТ 1050-88, мм",25
3,"Диаметр нарезаемой резьбы в стали 45 по ГОСТ 1050-88, мм",М12
4,"Расстояние от торца шпинделя до рабочей поверхности стола/ основания, мм",680/ 1200
5,"Расстояние от оси шпинделя до образующей колонны (вылет), мм",300
6,"Наибольшая высота заготовки на столе, мм",
7,"Наибольшая высота заготовки на плите, мм",
8,Рабочий стол,
9,"Размеры рабочей поверхности плиты (основания), мм",610 х 450
10,"Размеры рабочей поверхности подъемного стола (длина х ширина), мм",450 х 450
11,"Наибольший ход подъемного стола (ось Z), мм",670
12,"Наибольшая масса заготовки на подъемном столе, кг",100
13,Количество Т-образных пазов на столе,2 14Н12
14,Шпиндель,
15,"Наибольшее перемещение (установочное) шпиндельной головки, мм",
16,"Наибольшее перемещение (ход) пиноли шпинделя, мм",160
17,"Частота вращения шпинделя, об/мин",75..3200
18,Количество скоростей шпинделя,12
19,"Наибольший допустимый крутящий момент, Нм",
20,"Осевое усилие на шпинделе (не более), Н",
21,Размер внутреннего конуса шпинделя по ГОСТ 25557-82,Морзе 4
22,Механика станка,
23,Число ступеней рабочих подач,2
24,"Пределы вертикальных рабочих подач на один оборот шпинделя, мм","0,06; 0,18"
25,"Наибольшая допустимая сила подачи (осевое усилие на шпинделе)), Н",
26,Привод,
27,"Электродвигатель привода главного движения, кВт (об/мин)","1,1/ 1,5 (1410/ 2730)"
28,Габариты и масса станка,
29,"Габариты станка (длина ширина высота), мм",750 х 550 х 2150
30,"Масса станка, кг",400
