index,Наименование параметра,2С550А
0,Основные параметры станка,
1,Класс точности станка,Н
2,"Наибольший условный диаметр сверления в стали 45 ГОСТ 1050-88, НВ 207..229, мм",35
3,"Наибольший условный диаметр сверления в чугуне СЧ20 ГОСТ 1412-85, мм",40
4,"Диапазон нарезаемой резьбы в стали 45 ГОСТ 1050-88, мм",
5,"Расстояние от оси шпинделя до направляющей колонны (вылет шпинделя), мм",330..1240
6,"Наибольшее горизонтальное перемещение сверлильной головки по рукаву, мм",910
7,"Наименьшее и наибольшее расстояние от торца шпинделя до плиты, мм",180..1255
8,"Наибольшее вертикальное перемещение рукава по колонне (установочное), мм",830
9,"Скорость вертикального перемещения рукава по колонне, м/мин",
10,"Угол поворота рукава вокруг колонны, град",360°
11,"Рамер поверхности плиты (ширина длина), мм",630 х 1050
12,"Наибольшая масса инструмента, устанавливаемого на станке, кг",
13,Шпиндель,
14,"Наибольшее осевое перемещение пиноли шпинделя (ход шпинделя), мм",250
15,"Перемещение шпинделя на одно деление лимба, мм",
16,"Перемещение шпинделя на оборот лимба, мм",
17,"Диаметр гильзы шпинделя, мм",
18,Обозначение конца шпинделя по ГОСТ 24644,
19,"Частота прямого вращения шпинделя, об/мин",31..1400 (12)
20,Количество скоростей шпинделя прямого вращения,12
21,"Пределы рабочих подач на один оборот шпинделя, мм/об","0,1..1,6 (9)"
22,Число ступеней рабочих подач,9
23,"Пределы рабочих подач на один оборот шпинделя при нарезании резьбы, мм",
24,"Наибольший допустимый крутящий момент на шпинделе, Н*м",400
25,"Наибольшее усилие подачи, кН",15
26,Зажим вращения колонны в цоколе,ручной
27,Зажим рукава на колонне,
28,Зажим сверлильной головки на рукаве,
29,Отключение подачи при достижении заданной глубины сверления,
30,Включение реверса шпинделя при достижении заданной глубины резьбы,
31,Электрооборудование. Привод,
32,Количество электродвигателей на станке,
33,"Электродвигатель привода главного движения, кВт (об/мин)",4
34,"Электродвигатель привода перемещения рукава, кВт (об/мин)",
35,"Электродвигатель привода гидрозажима колонны, кВт (об/мин)",
36,"Электродвигатель привода гидрозажима сверлильной головки, кВт (об/мин)",
37,"Электродвигатель насоса охлаждающей жидкости, кВт (об/мин)",
38,"Электродвигатель набора скоростей, кВт (об/мин)",
39,"Электродвигатель набора подач, кВт",
40,"Электродвигатель привода ускоренного перемещения шпинделя, кВт",
41,"Суммарная мощность установленных электродвигателей, кВт",
42,Габариты и масса станка,
43,"Габариты станка (длина ширина высота), мм",2430 х 965 х 2570
44,"Масса станка, кг",3300
