index,Наименование параметра,3180
0,Основные параметры,
1,"Диаметр шлифования, мм",3..75
2,"Наибольшая длина шлифования, мм",180
3,"Расстояние между осями кругов, мм",330..530
4,"Наибольшее перемещение каретки, мм",120
5,"Наибольшее перемещение бабки ведущего круга, мм",80..200
6,"Число оборотов шлифовального круга, об/мин",1200
7,"Пределы чисел оборотов ведущего круга в минуту при гидравлическом приводе, об/мин",25..225
8,"Пределы чисел оборотов ведущего круга в минуту при механическом приводе, об/мин",13..94
9,"Число оборотов ведущего круга в минуту при правке, об/мин",300
10,"Наибольший угол поворота ведущего круга, град",6
11,"Привод, габарит и масса станка",
12,Количество электродвигателей на станке,
13,"Электродвигатель привода шлифовального круга, кВт",14
14,"Электродвигатель привода ведущего круга, кВт",085
15,"Электродвигатель привода гидронасоса - мощность, кВт",
16,"Суммарная мощность электродвигателей, кВт",
17,Габаритные размеры и масса станка,
18,"Габарит станка (длина X ширина X высота), мм",
19,"Масса станка с приставным оборудованием, кг",
