index,Наименование параметра,32К84СФ4
0,Основные параметры,
1,"Класс точности по ГОСТ 8-82 (Н,П,В,А,С)",С
2,"Рабочая поверхность стола (ширинна х длина), мм",400 х 800
3,"Наименьшее расстояние от торца шпинделя до стола, мм",500
4,"Расстояние от оси шпинделя до стойки (вылет шпинделя), мм",450
5,"Наибольший диаметр шлифуемого отверстия, мм",300
6,"Наибольшая масса обрабатываемой детали, мм",400
7,"Наибольший диаметр шлифовального круга, мм",50
8,"Наибольший угол шлифуемого конического отверстия, град",10°
9,Шпиндельная бабка,
10,"Частота вращения электрошпинделя, об/мин",12000..96000
11,"Частота вращения пневмошпинделя, об/мин",100 000..250 000
12,"Пределы рабочих подач гильзы шпинделя, мм/мин",15..6000
13,"Ускоренное перемещение гильзы шпинделя, мм/мин",6000
14,"Наибольшее вертикальное перемещение шпинделя (ход) (ручное, механическое), мм",150
15,"Наибольшее вертикальное перемещение шпиндельной бабки (установочное от руки), мм",500
16,"Ускоренное перемещение шпиндельной бабки, мм/мин",6000
17,Внутренний конус шпинделя (внутренний конус) специальный,
18,Наибольший конус закрепляемого инструмента,
19,Закрепление шпиндельной коробки на направляющих,
20,Рабочий стол,
21,"Наибольшее перемещение стола (продольное/ поперечное), мм",630 / 400
22,Число Т- образных пазов на столе,
23,"Величина ускоренного перемещения стола и салазок, мм/мин",6000
24,"Пределы рабочих подач стола и салазок при фрезеровании, мм/мин",1..6000
25,Система ЧПУ,
26,Модель,Heidenhain TNC 151
27,Режим управления,Контурно позиционный
28,Ввод информации,Вручную с магн. ленты
29,"Преобразователь измерительный по координатам X, Y, Z",ФотоИмпульсный
30,"Дискретность отсчета, мм",0001
31,Точность станка,
32,"Дискретность по осям координат, мм",0001
33,"Точность установки координат стола, мм","±0,003"
34,"Точность установки координат шпиндельной бабки, мм","±0,0075"
35,"Точность расстояний между осями отверстий, растачиваемых на станке, мм","±0,0025"
36,"Точность растачиваемого диаметра (постоянство диаметра), мм","±0,003"
37,Предохранение от перегрузки механизма подач,
38,Привод и электрооборудование станка,
39,Количество электродвигателей на станке,
40,"Электродвигатель электрошпинделя шлифовальной бабки, кВт",05
41,"Электродвигатель насоса гидросистемы, кВт",
42,"Электродвигатель насоса системы охлаждения, кВт",
43,"Электродвигатель магнитного сепаратора, кВт",
44,"Общая мощность электродвигателей, кВт",911
45,Габаритные размеры и масса станка,
46,"Габаритные размеры станка (длина х ширина х высота), мм",2950 х 3500 х 2930
47,"Масса станка с электрооборудованием и охлаждением, кг",4450
