index,Наименование параметра,371М-1
0,Основные параметры,
1,Класс точности по ГОСТ 8-82,В
2,"Наибольшие размеры обрабатываемых изделий (длина х ширина х высота), мм",630 х 250 х 300
3,"Расстояние от оси шпинделя до зеркала стола, мм",425
4,"Наибольшая масса обрабатываемого изделия, кг",
5,Рабочий стол станка,
6,"Размеры рабочей поверхности стола (длина х ширина), мм",650 х 200
7,"Наибольшее продольное перемещение стола от руки, мм",100..650
8,"Наибольшее продольное перемещение стола от гидравлики, мм",100..650
9,"Поперечное перемещение стола, мм",-
10,"Скорость продольного перемещения стола, м/мин",0..18
11,"Перемещение стола за один оборот маховика механизма продольного перемещения, мм",42
12,Механизм поперечной подачи стойки,
13,"Наибольшее поперечное перемещение от руки/ гидравлики, мм",240
14,"Цена деления лимба маховика поперечного перемещения стойки, мм",01
15,"Поперечное перемещение стойки на один оборот маховика, мм",
16,"Автоматическая поперечная подача на каждый ход стола, мм (число шагов)","0,2..2 (10)"
17,Механизм поперечной подачи стола,
18,"Цена деления лимба маховика поперечного перемещения стола, мм",-
19,"Перемещение суппорта за один оборот маховика, мм",-
20,"Цена деления лимба микрометрической подачи поперечного перемещения стола, мм",-
21,"Автоматическая поперечная подача на каждый ход стола, мм",-
22,"Автоматическая непрерывная подача, м/мин",
23,Шлифовальная головка,
24,"Наибольшее вертикальное перемещение шлифовальной головки, мм",380
25,"Скорость ускоренного вертикального перемещения шлифовальной головки, м/мин",-
26,"Размеры шлифовального круга, Ø диаметр х Ø внутренний х высота, мм",Ø 140..250 х 75
27,"Частота вращения шлифовального, об/мин",2870
28,"Цена деления лимба маховика вертикального перемещения, мм",001
29,"Автоматическая подача вертикального перемещения (ступенчатая с шагом 0,005), мм",-
30,"Перемещение шлифовальной головки за один оборот маховика, мм",
31,Электрооборудование и привод станка,
32,Количество электродвигателей на станке,
33,"Электродвигатель привода шпинделя, кВт (об/мин)","2,8 (2880)"
34,"Электродвигатель гидропривода, кВт (об/мин)","1,7 (960)"
35,"Электродвигатель ускоренного перемещения шлифовальной головки, кВт (об/мин)",-
36,"Электродвигатель насоса охлаждения, кВт (об/мин)","0,12 (2800)"
37,"Электродвигатель магнитного сепаратора, кВт (об/мин)",-
38,"Общая установленная мощность всех электродвигателей, кВт",
39,род тока питающей сети,"50Гц, 380/220 В"
40,Габариты и масса станка,
41,"Габарит станка (длина х ширина х высота), мм",2500 х 1590 х 1950
42,"Масса станка, кг",1950
